method,rebalance_date,date,portfolio_return,turnover,n_assets
sample,2024-01-31,2024-02-01,0.013178278208271759,0.0,80
sample,2024-01-31,2024-02-02,0.0013843431547615873,0.0,80
sample,2024-01-31,2024-02-05,-0.00648461073895804,0.0,80
sample,2024-01-31,2024-02-06,0.0040947562387934466,0.0,80
sample,2024-01-31,2024-02-07,0.010583400475519283,0.0,80
sample,2024-01-31,2024-02-08,-0.004254658351386026,0.0,80
sample,2024-01-31,2024-02-09,0.002066772893586568,0.0,80
sample,2024-01-31,2024-02-12,-3.916530853071619e-05,0.0,80
sample,2024-01-31,2024-02-13,-0.0048978262563061205,0.0,80
sample,2024-01-31,2024-02-14,0.0039703221973410915,0.0,80
sample,2024-01-31,2024-02-15,0.0059580976152653255,0.0,80
sample,2024-01-31,2024-02-16,0.0017655522801022464,0.0,80
sample,2024-01-31,2024-02-20,0.0011717717741784063,0.0,80
sample,2024-01-31,2024-02-21,0.0024171313664494553,0.0,80
sample,2024-01-31,2024-02-22,0.010084546337968844,0.0,80
sample,2024-01-31,2024-02-23,0.003249887014903313,0.0,80
sample,2024-01-31,2024-02-26,-0.00039608767996483275,0.0,80
sample,2024-01-31,2024-02-27,-0.0018116292270457018,0.0,80
sample,2024-01-31,2024-02-28,0.0026916151834950816,0.0,80
sample,2024-01-31,2024-02-29,-0.0038784239043771207,0.0,80
sample,2024-01-31,2024-03-01,0.003365131186185387,0.0,80
ledoit_wolf,2024-01-31,2024-02-01,0.012939835023449427,0.0,80
ledoit_wolf,2024-01-31,2024-02-02,0.000949920067056103,0.0,80
ledoit_wolf,2024-01-31,2024-02-05,-0.0066760246723092925,0.0,80
ledoit_wolf,2024-01-31,2024-02-06,0.00439287539289967,0.0,80
ledoit_wolf,2024-01-31,2024-02-07,0.010173565198316812,0.0,80
ledoit_wolf,2024-01-31,2024-02-08,-0.003994866439080168,0.0,80
ledoit_wolf,2024-01-31,2024-02-09,0.0019790533756166096,0.0,80
ledoit_wolf,2024-01-31,2024-02-12,-1.0970611187846954e-05,0.0,80
ledoit_wolf,2024-01-31,2024-02-13,-0.00496985111953255,0.0,80
ledoit_wolf,2024-01-31,2024-02-14,0.003989278385672769,0.0,80
ledoit_wolf,2024-01-31,2024-02-15,0.00592307934407268,0.0,80
ledoit_wolf,2024-01-31,2024-02-16,0.0015272516497131967,0.0,80
ledoit_wolf,2024-01-31,2024-02-20,0.0008893531747042663,0.0,80
ledoit_wolf,2024-01-31,2024-02-21,0.002746264350473389,0.0,80
ledoit_wolf,2024-01-31,2024-02-22,0.010139663969655297,0.0,80
ledoit_wolf,2024-01-31,2024-02-23,0.003103825840409034,0.0,80
ledoit_wolf,2024-01-31,2024-02-26,-0.0008369573288057716,0.0,80
ledoit_wolf,2024-01-31,2024-02-27,-0.001815991312582344,0.0,80
ledoit_wolf,2024-01-31,2024-02-28,0.002666944967470045,0.0,80
ledoit_wolf,2024-01-31,2024-02-29,-0.003801272752338825,0.0,80
ledoit_wolf,2024-01-31,2024-03-01,0.003284865792439311,0.0,80
