method,rebalance_date,date,portfolio_return,turnover,n_assets
sample,2024-01-31,2024-02-01,0.020233961027858023,0.0,48
sample,2024-01-31,2024-02-02,-0.0004721153928728142,0.0,48
sample,2024-01-31,2024-02-05,-0.01765785410814193,0.0,48
sample,2024-01-31,2024-02-06,0.0024998451845180043,0.0,48
sample,2024-01-31,2024-02-07,0.010218475353985205,0.0,48
sample,2024-01-31,2024-02-08,0.004985565469574684,0.0,48
sample,2024-01-31,2024-02-09,-0.001396242978812632,0.0,48
sample,2024-01-31,2024-02-12,-0.0021104485180799735,0.0,48
sample,2024-01-31,2024-02-13,-0.008568215016842268,0.0,48
sample,2024-01-31,2024-02-14,0.0040344633960698794,0.0,48
sample,2024-01-31,2024-02-15,0.008173342544022135,0.0,48
sample,2024-01-31,2024-02-16,-0.0018975769523451194,0.0,48
sample,2024-01-31,2024-02-20,0.0005256263834168208,0.0,48
sample,2024-01-31,2024-02-21,0.013443879161260493,0.0,48
sample,2024-01-31,2024-02-22,0.010300927147092052,0.0,48
sample,2024-01-31,2024-02-23,0.004640674083867975,0.0,48
sample,2024-01-31,2024-02-26,-0.00039479127996590194,0.0,48
sample,2024-01-31,2024-02-27,0.0012635757400164963,0.0,48
sample,2024-01-31,2024-02-28,0.007364575980254442,0.0,48
sample,2024-01-31,2024-02-29,-0.004357883278123482,0.0,48
sample,2024-01-31,2024-03-01,-0.004702799705618447,0.0,48
ledoit_wolf,2024-01-31,2024-02-01,0.019862101403424808,0.0,48
ledoit_wolf,2024-01-31,2024-02-02,-0.0005487591519838908,0.0,48
ledoit_wolf,2024-01-31,2024-02-05,-0.015043804413492309,0.0,48
ledoit_wolf,2024-01-31,2024-02-06,0.003676438879541039,0.0,48
ledoit_wolf,2024-01-31,2024-02-07,0.01107632797329495,0.0,48
ledoit_wolf,2024-01-31,2024-02-08,0.0030900997905212,0.0,48
ledoit_wolf,2024-01-31,2024-02-09,-0.0009430861351223495,0.0,48
ledoit_wolf,2024-01-31,2024-02-12,-0.0012862584574158467,0.0,48
ledoit_wolf,2024-01-31,2024-02-13,-0.008190411150090544,0.0,48
ledoit_wolf,2024-01-31,2024-02-14,0.005093617798459587,0.0,48
ledoit_wolf,2024-01-31,2024-02-15,0.007549831468620404,0.0,48
ledoit_wolf,2024-01-31,2024-02-16,-0.0025165705052354265,0.0,48
ledoit_wolf,2024-01-31,2024-02-20,4.841048320330643e-05,0.0,48
ledoit_wolf,2024-01-31,2024-02-21,0.014024553632559153,0.0,48
ledoit_wolf,2024-01-31,2024-02-22,0.01136374169746258,0.0,48
