method,rebalance_date,date,portfolio_return,turnover,n_assets
sample,2024-01-31,2024-02-01,0.00977839012108938,0.0,57
sample,2024-01-31,2024-02-02,-0.004969402809885238,0.0,57
sample,2024-01-31,2024-02-05,-0.0012646903813868023,0.0,57
sample,2024-01-31,2024-02-06,0.01565422450887971,0.0,57
sample,2024-01-31,2024-02-07,0.006183534296001808,0.0,57
sample,2024-01-31,2024-02-08,-0.009912745620778922,0.0,57
sample,2024-01-31,2024-02-09,0.001584682284076067,0.0,57
sample,2024-01-31,2024-02-12,0.0038043076235902405,0.0,57
sample,2024-01-31,2024-02-13,-0.008366657297688717,0.0,57
sample,2024-01-31,2024-02-14,0.004165989771265405,0.0,57
sample,2024-01-31,2024-02-15,0.0016928263000713082,0.0,57
sample,2024-01-31,2024-02-16,0.002441542936841775,0.0,57
sample,2024-01-31,2024-02-20,-0.0025679772012227355,0.0,57
sample,2024-01-31,2024-02-21,0.005686835962114938,0.0,57
sample,2024-01-31,2024-02-22,0.007374656186472053,0.0,57
sample,2024-01-31,2024-02-23,0.009533746893805576,0.0,57
sample,2024-01-31,2024-02-26,-0.0040030530793835305,0.0,57
sample,2024-01-31,2024-02-27,-0.003432636186342281,0.0,57
sample,2024-01-31,2024-02-28,-0.0027389570731610304,0.0,57
sample,2024-01-31,2024-02-29,-0.0061071985742091085,0.0,57
sample,2024-01-31,2024-03-01,0.007547284390721388,0.0,57
ledoit_wolf,2024-01-31,2024-02-01,0.010154643328493253,0.0,57
ledoit_wolf,2024-01-31,2024-02-02,-0.004598720023120447,0.0,57
ledoit_wolf,2024-01-31,2024-02-05,-0.0015269106281827715,0.0,57
ledoit_wolf,2024-01-31,2024-02-06,0.015025447503005933,0.0,57
ledoit_wolf,2024-01-31,2024-02-07,0.005332527138259507,0.0,57
ledoit_wolf,2024-01-31,2024-02-08,-0.009700603674464413,0.0,57
ledoit_wolf,2024-01-31,2024-02-09,0.0011051860591599653,0.0,57
ledoit_wolf,2024-01-31,2024-02-12,0.003750070421089763,0.0,57
ledoit_wolf,2024-01-31,2024-02-13,-0.008302457296416179,0.0,57
ledoit_wolf,2024-01-31,2024-02-14,0.004354497512053067,0.0,57
ledoit_wolf,2024-01-31,2024-02-15,0.0023125942506447726,0.0,57
ledoit_wolf,2024-01-31,2024-02-16,0.0025064555209014278,0.0,57
ledoit_wolf,2024-01-31,2024-02-20,-0.0023810362955527134,0.0,57
ledoit_wolf,2024-01-31,2024-02-21,0.005418570725471954,0.0,57
ledoit_wolf,2024-01-31,2024-02-22,0.007490166718258969,0.0,57
ledoit_wolf,2024-01-31,2024-02-23,0.009383806030532932,0.0,57
ledoit_wolf,2024-01-31,2024-02-26,-0.004183052513766444,0.0,57
ledoit_wolf,2024-01-31,2024-02-27,-0.003679766176576569,0.0,57
ledoit_wolf,2024-01-31,2024-02-28,-0.003338986766699956,0.0,57
ledoit_wolf,2024-01-31,2024-02-29,-0.006144705027536961,0.0,57
ledoit_wolf,2024-01-31,2024-03-01,0.007559477700771527,0.0,57
embedding_prior,2024-01-31,2024-02-01,0.010922984295138442,0.0,57
embedding_prior,2024-01-31,2024-02-02,-0.005262974421197336,0.0,57
embedding_prior,2024-01-31,2024-02-05,-0.0026739714594887437,0.0,57
embedding_prior,2024-01-31,2024-02-06,0.019713998311793504,0.0,57
embedding_prior,2024-01-31,2024-02-07,0.00403891380954762,0.0,57
embedding_prior,2024-01-31,2024-02-08,-0.009169801669971101,0.0,57
embedding_prior,2024-01-31,2024-02-09,0.0009559870428673437,0.0,57
embedding_prior,2024-01-31,2024-02-12,0.003661838284409489,0.0,57
embedding_prior,2024-01-31,2024-02-13,-0.0074248992111081305,0.0,57
embedding_prior,2024-01-31,2024-02-14,0.004733007258113552,0.0,57
embedding_prior,2024-01-31,2024-02-15,0.005293662800347886,0.0,57
embedding_prior,2024-01-31,2024-02-16,-5.149370268465927e-05,0.0,57
embedding_prior,2024-01-31,2024-02-20,-0.0013968197289188171,0.0,57
embedding_prior,2024-01-31,2024-02-21,0.004289542440934992,0.0,57
embedding_prior,2024-01-31,2024-02-22,0.009314772385388245,0.0,57
embedding_prior,2024-01-31,2024-02-23,0.008394990268216572,0.0,57
embedding_prior,2024-01-31,2024-02-26,-0.003373983348399263,0.0,57
embedding_prior,2024-01-31,2024-02-27,-0.0005266747194236951,0.0,57
embedding_prior,2024-01-31,2024-02-28,-0.0013173468926373107,0.0,57
embedding_prior,2024-01-31,2024-02-29,-0.007819359921571664,0.0,57
embedding_prior,2024-01-31,2024-03-01,0.008407344823135147,0.0,57
multiview,2024-01-31,2024-02-01,0.016908871975345536,0.0,57
multiview,2024-01-31,2024-02-02,-0.0006370584550164338,0.0,57
multiview,2024-01-31,2024-02-05,-0.0013406894274210035,0.0,57
multiview,2024-01-31,2024-02-06,0.02182564854414092,0.0,57
multiview,2024-01-31,2024-02-07,0.008922174698069253,0.0,57
multiview,2024-01-31,2024-02-08,-0.013873135708843073,0.0,57
multiview,2024-01-31,2024-02-09,-0.001458483512961059,0.0,57
multiview,2024-01-31,2024-02-12,0.0007514981924992014,0.0,57
multiview,2024-01-31,2024-02-13,-8.920415434203466e-07,0.0,57
multiview,2024-01-31,2024-02-14,0.0017390603556686935,0.0,57
multiview,2024-01-31,2024-02-15,0.011730437042080072,0.0,57
multiview,2024-01-31,2024-02-16,0.004609333394988722,0.0,57
multiview,2024-01-31,2024-02-20,-0.0024840800608305264,0.0,57
multiview,2024-01-31,2024-02-21,0.0015446788632321874,0.0,57
multiview,2024-01-31,2024-02-22,0.009290901252359422,0.0,57
multiview,2024-01-31,2024-02-23,0.007718997169330296,0.0,57
multiview,2024-01-31,2024-02-26,0.00032632278574171994,0.0,57
multiview,2024-01-31,2024-02-27,-0.0020077266040092676,0.0,57
multiview,2024-01-31,2024-02-28,-0.004552194122205447,0.0,57
multiview,2024-01-31,2024-02-29,-0.008348737540778469,0.0,57
multiview,2024-01-31,2024-03-01,0.005082136611072536,0.0,57
multiview_without_business,2024-01-31,2024-02-01,0.014544343356308323,0.0,57
multiview_without_business,2024-01-31,2024-02-02,-0.0025309370632712784,0.0,57
multiview_without_business,2024-01-31,2024-02-05,-0.002015736012344278,0.0,57
multiview_without_business,2024-01-31,2024-02-06,0.02346321499230663,0.0,57
multiview_without_business,2024-01-31,2024-02-07,0.006416220033150411,0.0,57
multiview_without_business,2024-01-31,2024-02-08,-0.012887070159773818,0.0,57
multiview_without_business,2024-01-31,2024-02-09,-0.0007684222491917041,0.0,57
multiview_without_business,2024-01-31,2024-02-12,0.003354433581726633,0.0,57
multiview_without_business,2024-01-31,2024-02-13,-0.0027404135215522672,0.0,57
multiview_without_business,2024-01-31,2024-02-14,0.002021685663486707,0.0,57
multiview_without_business,2024-01-31,2024-02-15,0.010600329637023356,0.0,57
