slice_type,slice,n_slice_tickers,status,n_rebalance_dates,multiview_annual_variance,ledoit_wolf_annual_variance,sample_annual_variance,embedding_prior_annual_variance,multiview_minus_lw_daily_var,multiview_minus_lw_ci_low,multiview_minus_lw_ci_high,multiview_sharpe,ledoit_wolf_sharpe,mean_assets,best_method
sector,Consumer Discretionary,48,ok,26,0.02618687855187554,0.018602501746628017,0.018476965713405177,0.01819598956551942,2.8606603672462336e-05,1.5960800995846517e-05,3.9304352142537605e-05,0.4093827842319323,0.8661966527619,48.0,embedding_prior
sector,Consumer Staples,36,ok,26,0.018451196640867515,0.01509889649457826,0.015087804008158796,0.01584977580747782,1.3213342317308165e-05,6.973681447883003e-06,1.9102294511352166e-05,1.4058694855146583,1.4060361053322235,35.84615384615385,sample
sector,Financials,76,ok,26,0.019923188327087702,0.017168918399959262,0.017270732342503075,0.017728706170897633,1.1236048889451837e-05,1.0507113520824452e-06,2.2202339300887363e-05,1.1226580235192378,1.0428404240776712,75.8076923076923,ledoit_wolf
sector,Health Care,58,ok,26,0.025294005376407098,0.01760739425930736,0.017345084619031243,0.01734869847395477,3.053986962812819e-05,1.5385183854669467e-05,4.864899442115061e-05,0.4103021188215658,0.5300902553505469,57.46153846153846,sample
sector,Industrials,79,ok,26,0.02720874383155665,0.01716368373688231,0.017306544957443843,0.017430991913899515,4.100939133398205e-05,2.3247598607894904e-05,5.768957254260757e-05,0.5145271220565089,0.857722831591456,78.11538461538461,ledoit_wolf
sector,Information Technology,73,ok,26,0.030059614976069175,0.02210321589241006,0.021749720314718276,0.02213241365415947,3.2347955368491654e-05,1.678415485151243e-05,4.652712014283509e-05,1.1540863902481695,0.3872582229329223,71.03846153846153,sample
liquidity,low_liquidity,168,ok,26,0.023260379781306663,0.014172944427475648,0.01438141153613103,0.0178114790387775,3.64228113324459e-05,1.591714098919216e-05,7.210114188397962e-05,0.3691341083642944,0.4290549107615151,80.0,ledoit_wolf
liquidity,mid_liquidity,167,ok,26,0.018609440655686215,0.01282680958753709,0.01295841790758723,0.013573057973294516,2.1978801568920765e-05,1.0225669787474972e-05,3.321477290706892e-05,0.2187159713754697,0.8202201466098864,80.0,ledoit_wolf
liquidity,high_liquidity,168,ok,26,0.011980678554622017,0.010625543036802538,0.010526479690282255,0.010535351160001675,4.99445521162986e-06,-2.426288726724694e-06,1.1501319986756214e-05,1.5360061016783213,1.7617220452248785,80.0,sample
