cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,4,10,1,0,4,4,26,38,5,1,0
1,0,1,0,0,4,5,11,1,1,0,0
2,0,0,1,2,44,1,8,0,0,8,2
3,0,0,3,16,0,0,1,0,5,0,0
4,5,4,0,1,3,1,9,28,2,1,0
5,1,4,2,1,2,1,2,2,6,4,5
6,1,2,3,0,0,42,3,1,1,1,0
7,6,10,22,2,2,2,8,2,4,2,0
8,0,0,0,0,0,0,1,0,0,0,24
9,1,14,3,0,14,2,6,0,2,2,0
10,5,3,1,0,3,0,4,0,0,12,0
