cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,2,0,0,0,0,0,0,0,0,0
1,2,1,0,1,3,2,17,1,3,0,2
2,0,0,1,1,36,4,7,3,0,2,2
3,2,2,0,2,2,2,22,53,3,1,1
4,9,10,2,0,18,7,3,0,0,2,0
5,0,0,0,0,2,0,1,0,2,0,25
6,0,5,19,0,1,29,5,1,4,0,0
7,0,16,8,2,1,4,9,4,2,0,0
8,0,6,1,0,4,0,2,0,0,25,0
9,0,3,3,14,0,1,4,2,8,0,0
10,10,3,2,2,9,9,9,8,4,1,1
