ticker,date,title,company_name,gics_sector,gics_sub_industry,cluster,cluster_majority_label,cluster_distance
CLX,2026-04-22,CLOROX CO /DE/,Clorox,Consumer Staples,Household Products,9,Energy,7.706122952769885
EXPE,2026-04-22,"Expedia Group, Inc.",Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,Communication Services,6.881257184228616
NUE,2026-04-22,NUCOR CORP,Nucor,Materials,Steel,5,Utilities,6.767234565241218
LULU,2026-04-22,lululemon athletica inc.,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6,Health Care,6.508449420324782
HUM,2026-04-22,HUMANA INC,Humana,Health Care,Managed Health Care,4,Financials,6.504920532090658
MKC,2026-04-22,MCCORMICK & CO INC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,7,Consumer Discretionary,6.487056111935972
CTRA,2026-04-22,Coterra Energy Inc.,Coterra,Energy,Oil & Gas Exploration & Production,1,Industrials,6.455064198485531
MOS,2026-04-22,MOSAIC CO,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,9,Energy,6.417879655971957
PPG,2026-04-22,PPG INDUSTRIES INC,PPG Industries,Materials,Specialty Chemicals,7,Consumer Discretionary,6.377055856572511
C,2026-04-22,CITIGROUP INC,Citigroup,Financials,Diversified Banks,7,Consumer Discretionary,6.2610875078936
UHS,2026-04-22,UNIVERSAL HEALTH SERVICES INC,Universal Health Services,Health Care,Health Care Facilities,4,Financials,6.141164695080769
PNW,2026-04-22,PINNACLE WEST CAPITAL CORP,Pinnacle West Capital,Utilities,Multi-Utilities,1,Industrials,6.090044426925385
BRK-B,2026-04-22,BERKSHIRE HATHAWAY INC,Berkshire Hathaway,Financials,Multi-Sector Holdings,8,Real Estate,6.067086522535166
CASY,2026-04-22,CASEYS GENERAL STORES INC,Casey's,Consumer Staples,Food Retail,8,Real Estate,6.022761855477067
AEP,2026-04-22,AMERICAN ELECTRIC POWER CO INC,American Electric Power,Utilities,Electric Utilities,1,Industrials,5.999214879517423
PCAR,2026-04-22,PACCAR INC,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,7,Consumer Discretionary,5.959089107450805
PHM,2026-04-22,PULTEGROUP INC/MI/,PulteGroup,Consumer Discretionary,Homebuilding,10,Communication Services,5.954931945376322
LYV,2026-04-22,"Live Nation Entertainment, Inc.",Live Nation Entertainment,Communication Services,Movies & Entertainment,4,Financials,5.859924836780266
OXY,2026-04-22,OCCIDENTAL PETROLEUM CORP /DE/,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,7,Consumer Discretionary,5.853641532855411
CTAS,2026-04-22,CINTAS CORP,Cintas,Industrials,Diversified Support Services,7,Consumer Discretionary,5.827938077167496
WAT,2026-04-22,WATERS CORP /DE/,Waters Corporation,Health Care,Life Sciences Tools & Services,2,Financials,5.827338142113504
WYNN,2026-04-22,WYNN RESORTS LTD,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,4,Financials,5.8159780350435435
MLM,2026-04-22,MARTIN MARIETTA MATERIALS INC,Martin Marietta Materials,Materials,Construction Materials,9,Energy,5.769484312183698
DPZ,2026-04-22,DOMINOS PIZZA INC,Domino's,Consumer Discretionary,Restaurants,6,Health Care,5.726728947277021
EFX,2026-04-22,EQUIFAX INC,Equifax,Industrials,Research & Consulting Services,8,Real Estate,5.628314956163067
MA,2026-04-22,Mastercard Inc,Mastercard,Financials,Transaction & Payment Processing Services,1,Industrials,5.621451748663836
STLD,2026-04-22,STEEL DYNAMICS INC,Steel Dynamics,Materials,Steel,1,Industrials,5.512021622250406
FCX,2026-04-22,FREEPORT-MCMORAN INC,Freeport-McMoRan,Materials,Copper,9,Energy,5.469756782013067
F,2026-04-22,FORD MOTOR CO,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1,Industrials,5.447667628447389
HCA,2026-04-22,"HCA Healthcare, Inc.",HCA Healthcare,Health Care,Health Care Facilities,4,Financials,5.434484945876459
HAL,2026-04-22,HALLIBURTON CO,Halliburton,Energy,Oil & Gas Equipment & Services,2,Financials,5.432694642482063
CPRT,2026-04-22,COPART INC,Copart,Industrials,Diversified Support Services,8,Real Estate,5.414974575345351
ROK,2026-04-22,"ROCKWELL AUTOMATION, INC",Rockwell Automation,Industrials,Electrical Components & Equipment,3,Information Technology,5.400796496746511
WAB,2026-04-22,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,7,Consumer Discretionary,5.355140635501413
CTVA,2026-04-22,"Corteva, Inc.",Corteva,Materials,Fertilizers & Agricultural Chemicals,5,Utilities,5.300148688950908
ETN,2026-04-22,Eaton Corp plc,Eaton Corporation,Industrials,Electrical Components & Equipment,5,Utilities,5.284469502658969
RCL,2026-04-22,ROYAL CARIBBEAN CRUISES LTD,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",4,Financials,5.239911900104053
NVR,2026-04-22,NVR INC,"NVR, Inc.",Consumer Discretionary,Homebuilding,8,Real Estate,5.232500118332712
GWW,2026-04-22,"W.W. GRAINGER, INC.",W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,6,Health Care,5.1856589015827
LIN,2026-04-22,LINDE PLC,Linde plc,Materials,Industrial Gases,7,Consumer Discretionary,5.182261473159469
RF,2026-04-22,REGIONS FINANCIAL CORP,Regions Financial Corporation,Financials,Regional Banks,5,Utilities,5.1752084621470065
PODD,2026-04-22,INSULET CORP,Insulet Corporation,Health Care,Health Care Equipment,10,Communication Services,5.130486232863059
HLT,2026-04-22,Hilton Worldwide Holdings Inc.,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",4,Financials,5.111499182460147
VMC,2026-04-22,Vulcan Materials CO,Vulcan Materials Company,Materials,Construction Materials,9,Energy,5.099160470872257
MCD,2026-04-22,MCDONALDS CORP,McDonald's,Consumer Discretionary,Restaurants,4,Financials,5.0838292306913635
SHW,2026-04-22,SHERWIN WILLIAMS CO,Sherwin-Williams,Materials,Specialty Chemicals,9,Energy,5.047707408152485
UAL,2026-04-22,"United Airlines Holdings, Inc.",United Airlines Holdings,Industrials,Passenger Airlines,4,Financials,5.046763432889475
CHD,2026-04-22,CHURCH & DWIGHT CO INC /DE/,Church & Dwight,Consumer Staples,Household Products,6,Health Care,5.041200360730492
IBKR,2026-04-22,"Interactive Brokers Group, Inc.",Interactive Brokers,Financials,Investment Banking & Brokerage,10,Communication Services,5.011473210394822
UNP,2026-04-22,UNION PACIFIC CORP,Union Pacific Corporation,Industrials,Rail Transportation,9,Energy,4.969252639339967
