cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,8,11,17,7,22,6,21,5,5,24,26
1,0,1,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,2,0,0,0
3,0,0,0,0,0,0,1,6,0,0,0
4,2,0,0,13,0,1,5,6,3,0,0
5,4,15,0,1,33,13,19,14,6,3,0
6,3,1,0,0,0,0,0,3,0,0,0
7,1,1,1,0,1,2,0,12,4,1,0
8,1,0,0,0,0,0,0,0,0,0,0
9,2,10,15,1,17,26,28,13,6,1,1
10,2,9,3,0,3,10,5,10,2,2,4
