slice_type,slice,n_slice_tickers,status,n_rebalance_dates,embedding_annual_variance,ledoit_wolf_annual_variance,sample_annual_variance,embedding_minus_lw_daily_var,embedding_minus_lw_ci_low,embedding_minus_lw_ci_high,embedding_sharpe,ledoit_wolf_sharpe,mean_assets
sector,Consumer Discretionary,48,ok,26,0.01851440779048001,0.018605078146947732,0.018486910682237685,-2.0118694441155483e-07,-3.406623521119795e-06,3.381919426484685e-06,0.9223129614020047,0.866453241187796,48.0
sector,Consumer Staples,36,ok,26,0.015415146857554738,0.015103300695318024,0.015115615233963273,7.991664749477875e-07,-2.217951537036169e-06,3.461829305988353e-06,1.2687051527076545,1.4093881913816309,35.84615384615385
sector,Financials,76,ok,26,0.018563372727649265,0.017171920737818935,0.017334120407397333,5.725776349868108e-06,1.0627859358356314e-06,1.1209202814478984e-05,0.9924576385500152,1.0490380086920545,75.8076923076923
sector,Health Care,58,ok,26,0.01719741117698495,0.017606743777031655,0.01740362707123177,-1.458412174257554e-06,-5.12779420820209e-06,2.4259821267924128e-06,0.8309979902349848,0.5291843447519421,57.46153846153846
sector,Industrials,79,ok,26,0.018266043332785514,0.017165449161726392,0.017011050756761344,4.874687679370495e-06,7.22631886442703e-07,9.15487601256229e-06,1.1498031229406735,0.8585674006976245,78.11538461538461
sector,Information Technology,73,ok,26,0.022347151093597053,0.022100427443965138,0.0217364751286555,8.562999807089511e-07,-4.8075536599661275e-06,5.61175994553507e-06,0.3907024420128137,0.38711310679513944,71.03846153846153
liquidity,low_liquidity,168,ok,26,0.015346707446229823,0.014251973189335401,0.014412224794271443,4.404841960756182e-06,7.118060349943789e-07,8.238259902685451e-06,0.6506180126730994,0.4286552723054653,80.0
liquidity,mid_liquidity,167,ok,26,0.012631747463925038,0.012816653002674231,0.012960509418111735,-9.071120092743152e-07,-3.4501221310113474e-06,1.6334915537002426e-06,0.9918386445974486,0.8108876045161406,80.0
liquidity,high_liquidity,168,ok,26,0.010812900269551175,0.010620207817690344,0.010536962565002772,8.80336273503384e-07,-1.2468633603324204e-06,2.9074428553710322e-06,1.6720497573680893,1.7690746407237068,80.0
