feature_set,fit_mode,n_features,n_prediction_dates,mean_rank_ic,mean_top_minus_bottom,top_sector_hit_rate,ending_capital,spy_ending_capital,excess_total_return_vs_spy,max_drawdown,first_rebalance_date,latest_exit_date,mean_selected_embeddings,selected_embedding_summary
raw_baseline,expanding,20,153,0.09827688651218064,0.011517734797567698,0.5424836601307189,68673.6194566845,54701.364942570384,1.397225451411411,-0.16326322074838107,2013-04-30,2026-02-03,,
expanding_sector_ae_only,expanding,8,153,0.03594771241830066,0.0009150441109946422,0.5686274509803921,62487.42999520016,54701.364942570384,0.778606505262978,-0.271997389126306,2013-04-30,2026-02-03,,
raw_plus_expanding_sector_ae,expanding,28,153,0.08698752228163993,0.010019271303361249,0.5032679738562091,68093.91326530173,54701.364942570384,1.3392548322731352,-0.16326322074838095,2013-04-30,2026-02-03,,
corr_filtered_expanding_sector_ae_only,expanding,4,153,0.06423054070112894,0.0075856744045550515,0.6274509803921569,69521.17303342602,54701.364942570384,1.481980809085564,-0.1764542297060141,2013-04-30,2026-02-03,2.9808917197452227,"group_embedding_1:136, group_embedding_4:99, group_embedding_0:85, group_embedding_2:82, group_embedding_5:45, group_embedding_3:11, group_embedding_6:5, group_embedding_7:5"
raw_plus_corr_filtered_expanding_sector_ae,expanding,24,153,0.08360071301247773,0.008369417482644479,0.5294117647058824,73835.62461500609,54701.364942570384,1.9134259672435707,-0.16326322074838084,2013-04-30,2026-02-03,2.9808917197452227,"group_embedding_1:136, group_embedding_4:99, group_embedding_0:85, group_embedding_2:82, group_embedding_5:45, group_embedding_3:11, group_embedding_6:5, group_embedding_7:5"
