forward_days,mean_embedding_peer_corr,mean_benchmark_peer_corr,mean_corr_diff,median_corr_diff,t_stat,p_value_normal_approx,diff_std,k,benchmark_column,n_observations,n_unique_tickers,n_dates
21,0.3815003082256096,0.6531810416281558,-0.2716807334025463,-0.21099708544178553,-40.24169657192241,0.0,0.3019994160268851,5,gics_sub_industry,2001,217,10
63,0.47618920065615,0.6771928510028575,-0.20100365034670745,-0.1390517368813159,-38.250504601330604,0.0,0.23506627219742687,5,gics_sub_industry,2001,217,10
126,0.47687017626079253,0.6738232926867238,-0.1969531164259312,-0.14285425800423604,-40.824534605430195,0.0,0.2155370244797985,5,gics_sub_industry,1996,217,10
252,0.4857001064586426,0.6748011410930767,-0.18910103463443398,-0.1393343330011717,-44.97745905818007,0.0,0.18760077066536884,5,gics_sub_industry,1991,216,10
504,0.5267472071920848,0.7040360218227655,-0.17728881463068075,-0.1293184787557481,-45.98189682488028,0.0,0.17100020601899465,5,gics_sub_industry,1967,215,10
