slice_type,slice,n_slice_tickers,status,n_rebalance_dates,embedding_annual_variance,ledoit_wolf_annual_variance,sample_annual_variance,embedding_minus_lw_daily_var,embedding_minus_lw_ci_low,embedding_minus_lw_ci_high,embedding_sharpe,ledoit_wolf_sharpe,mean_assets,preferred_method,annual_variance_improvement,relative_variance_improvement
sector,Consumer Discretionary,48,ok,26,0.01851440779048,0.0186050781469477,0.0184869106822376,-2.0118694441155486e-07,-3.406623521119795e-06,3.381919426484685e-06,0.9223129614020048,0.866453241187796,48.0,embedding_prior,9.067035646770014e-05,0.004873419813212409
sector,Consumer Staples,36,ok,26,0.0154151468575547,0.015103300695318,0.0151156152339632,7.991664749477875e-07,-2.217951537036169e-06,3.461829305988353e-06,1.2687051527076545,1.4093881913816309,35.84615384615385,ledoit_wolf,-0.0003118461622367008,-0.020647550394952585
sector,Financials,76,ok,26,0.0185633727276492,0.0171719207378189,0.0173341204073973,5.725776349868108e-06,1.0627859358356314e-06,1.1209202814478984e-05,0.9924576385500152,1.0490380086920543,75.8076923076923,ledoit_wolf,-0.0013914519898302995,-0.08103065528166627
sector,Health Care,58,ok,26,0.0171974111769849,0.0176067437770316,0.0174036270712317,-1.458412174257554e-06,-5.12779420820209e-06,2.4259821267924128e-06,0.8309979902349848,0.5291843447519421,57.46153846153846,embedding_prior,0.0004093326000466982,0.023248625937334417
sector,Industrials,79,ok,26,0.0182660433327855,0.0171654491617263,0.0170110507567613,4.874687679370495e-06,7.22631886442703e-07,9.15487601256229e-06,1.1498031229406735,0.8585674006976245,78.11538461538461,ledoit_wolf,-0.0011005941710592014,-0.06411682914264719
sector,Information Technology,73,ok,26,0.022347151093597,0.0221004274439651,0.0217364751286555,8.562999807089511e-07,-4.8075536599661275e-06,5.61175994553507e-06,0.3907024420128137,0.3871131067951394,71.03846153846153,ledoit_wolf,-0.00024672364963190113,-0.011163750124628167
liquidity,low_liquidity,168,ok,26,0.0153467074462298,0.0142519731893354,0.0144122247942714,4.404841960756182e-06,7.118060349943789e-07,8.238259902685451e-06,0.6506180126730994,0.4286552723054653,80.0,ledoit_wolf,-0.0010947342568944016,-0.07681282039693842
liquidity,mid_liquidity,167,ok,26,0.012631747463925,0.0128166530026742,0.0129605094181117,-9.071120092743152e-07,-3.450122131011347e-06,1.6334915537002426e-06,0.9918386445974486,0.8108876045161406,80.0,embedding_prior,0.0001849055387492006,0.014426975491231602
liquidity,high_liquidity,168,ok,26,0.0108129002695511,0.0106202078176903,0.0105369625650027,8.80336273503384e-07,-1.2468633603324204e-06,2.907442855371032e-06,1.6720497573680893,1.7690746407237068,80.0,ledoit_wolf,-0.00019269245186080003,-0.018143943618488163
