embedding,n,pearson_corr,spearman_corr,abs_spearman_corr
group_embedding_1,1859,-0.082893681164667,-0.08652744072590382,0.08652744072590382
group_embedding_2,1859,0.04547897346776958,0.06425202178046162,0.06425202178046162
group_embedding_0,1859,0.06360930675900925,0.05247066155190636,0.05247066155190636
group_embedding_3,1859,0.05415791747093581,0.043449961401706524,0.043449961401706524
group_embedding_4,1859,0.01961386903153725,0.02786616914724996,0.02786616914724996
group_embedding_6,1859,0.04488235495696897,0.015682132962113304,0.015682132962113304
group_embedding_7,1859,0.022118747486583493,0.013988064891007568,0.013988064891007568
group_embedding_5,1859,0.015405563890769023,0.004605998269506886,0.004605998269506886
