forward_days,mean_embedding_peer_corr,mean_benchmark_peer_corr,mean_corr_diff,median_corr_diff,t_stat,p_value_normal_approx,diff_std,k,benchmark_column,n_observations,n_unique_tickers,n_dates
21,0.552894854594328,0.6531810416281558,-0.10028618703382787,-0.06736388922073144,-19.92507290986821,0.0,0.2251462638088532,5,gics_sub_industry,2001,217,10
63,0.604971453604115,0.6771928510028575,-0.07222139739874253,-0.056602662986865004,-21.5016983603813,0.0,0.1502507562420212,5,gics_sub_industry,2001,217,10
126,0.6030437343526549,0.6738232926867238,-0.07077955833406897,-0.05898798524795987,-24.040168827308168,0.0,0.1315378089655925,5,gics_sub_industry,1996,217,10
252,0.6024683726366601,0.6748011410930767,-0.07233276845641656,-0.06308065534379875,-28.040821629899657,0.0,0.11510123479779294,5,gics_sub_industry,1991,216,10
504,0.6251088600180918,0.7040360218227655,-0.0789271618046737,-0.06795852551297965,-33.44964606376962,0.0,0.10464949553864351,5,gics_sub_industry,1967,215,10
