cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,6,12,17,8,14,17,33,21,8,3,11
1,7,4,2,0,5,6,9,3,1,0,0
2,1,6,1,0,44,10,6,1,2,21,1
3,1,1,0,0,0,0,0,4,0,0,0
4,4,1,0,1,2,6,5,8,1,4,0
5,0,0,0,0,2,0,1,7,0,0,0
6,2,19,9,10,2,12,15,6,13,2,14
7,0,1,0,0,0,0,0,1,0,0,0
8,2,3,6,3,2,5,7,10,1,1,4
9,0,1,1,0,2,1,1,0,0,0,1
10,0,0,0,0,3,1,2,11,0,0,0
