view,forward_days,mean_embedding_peer_corr,mean_benchmark_peer_corr,mean_corr_diff,median_corr_diff,t_stat,p_value_normal_approx,diff_std,k,benchmark_column,n_observations,n_unique_tickers,n_dates,status,error
business,21,0.5599913499868058,0.6548525816206334,-0.09486123163382758,-0.05692536687741084,-19.058532658383136,0.0,0.21707237336572274,5.0,gics_sub_industry,1902,216.0,10.0,ok,
business,63,0.6047916871598753,0.6773099188048194,-0.07251823164494403,-0.04714663533921598,-20.43039623775593,0.0,0.154801680838352,5.0,gics_sub_industry,1902,216.0,10.0,ok,
business,126,0.602327554779419,0.6747064901934337,-0.07237893541401463,-0.04836465163512227,-22.70905788712503,0.0,0.13874510846989413,5.0,gics_sub_industry,1895,216.0,10.0,ok,
business,252,0.6038812235168742,0.6766135199861683,-0.07273229646929406,-0.05086721591533183,-25.03541068298159,0.0,0.1260659324197877,5.0,gics_sub_industry,1883,215.0,10.0,ok,
business,504,0.6398011102123665,0.7086979324959438,-0.0688968222835772,-0.048992271903862794,-27.506060528174796,0.0,0.11212944065751859,5.0,gics_sub_industry,2004,214.0,11.0,ok,
behavioral,21,0.552894854594328,0.6531810416281558,-0.10028618703382787,-0.06736388922073144,-19.92507290986821,0.0,0.2251462638088532,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,63,0.604971453604115,0.6771928510028575,-0.07222139739874253,-0.056602662986865004,-21.5016983603813,0.0,0.1502507562420212,5.0,gics_sub_industry,2001,217.0,10.0,ok,
behavioral,126,0.6030437343526549,0.6738232926867238,-0.07077955833406897,-0.05898798524795987,-24.040168827308168,0.0,0.1315378089655925,5.0,gics_sub_industry,1996,217.0,10.0,ok,
behavioral,252,0.6024683726366601,0.6748011410930767,-0.07233276845641656,-0.06308065534379875,-28.040821629899657,0.0,0.11510123479779294,5.0,gics_sub_industry,1991,216.0,10.0,ok,
behavioral,504,0.6251088600180918,0.7040360218227655,-0.0789271618046737,-0.06795852551297965,-33.44964606376962,0.0,0.10464949553864351,5.0,gics_sub_industry,1967,215.0,10.0,ok,
growth,21,0.4649348227460013,0.6555604573585659,-0.19062563461256468,-0.14077398866425628,-31.17769575947111,0.0,0.2656674105446663,5.0,gics_sub_industry,1888,216.0,10.0,ok,
growth,63,0.5300354056549982,0.6778450973380897,-0.14780969168309155,-0.10909169824387167,-34.324960278308076,0.0,0.1870095184737468,5.0,gics_sub_industry,1886,216.0,10.0,ok,
growth,126,0.5341165533144923,0.6790371684440529,-0.1449206151295606,-0.11696047974171822,-39.23233239086996,0.0,0.16708553570921622,5.0,gics_sub_industry,2046,216.0,11.0,ok,
growth,252,0.5421640945661735,0.6864872536670733,-0.14432315910089974,-0.12295760024873764,-44.212575447612636,0.0,0.14663944006358984,5.0,gics_sub_industry,2018,215.0,11.0,ok,
growth,504,0.5793413243767934,0.7117570053295756,-0.1324156809527823,-0.10636822798553491,-44.27541128268633,0.0,0.1329781077610685,5.0,gics_sub_industry,1977,213.0,11.0,ok,
network,21,0.281838869044314,0.5848946263426081,-0.3030557572982942,-0.28724658395634467,-44.15212441937244,0.0,0.3033346730232753,5.0,gics_sub_industry,1953,217.0,9.0,ok,
network,63,0.26718641560778683,0.5717082687599124,-0.30452185315212565,-0.2985272790286365,-53.87440973124535,0.0,0.23551078472442935,5.0,gics_sub_industry,1736,217.0,8.0,ok,
network,126,0.25857729118638406,0.5683930138847023,-0.3098157226983182,-0.3107085848042688,-49.35108528986853,0.0,0.20678622982128606,5.0,gics_sub_industry,1085,217.0,5.0,ok,
network,252,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
network,504,,,,,,,,,,0,,,no_valid_observations,No peer-evaluation observations had enough metadata and forward returns.
