ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
GPN,Transaction & Payment Processing Services,ACN|MA|CRWD|WDAY|GD,FIS|MA|FISV|XYZ|JKHY,EXC|FDX|VLTO|HAS|EIX,0.2,0.6,0.0,0.06666666666666667,0.11746031746031745,0.0
HII,Aerospace & Defense,LII|DG|HUM|LOW|TXT,GE|BA|RTX|TXT|NOC,APTV|NVDA|INCY|BSX|VRSK,0.0,0.0,0.0,0.1,0.15333333333333332,0.0
HLT,"Hotels, Resorts & Cruise Lines",MDLZ|LYV|GILD|D|MGM,NCLH|BKNG|RCL|EXPE|ABNB,ROL|STLD|HUM|CCL|SPG,0.0,0.2,0.0,0.16666666666666666,0.19,0.0
HPE,"Technology Hardware, Storage & Peripherals",AXP|LMT|LHX|NOW|CTSH,DELL|NTAP|STX|SNDK|HPQ,PNR|REGN|IR|CHTR|AMZN,0.0,0.4,0.2,0.07186274509803922,0.12424242424242424,0.022796352583586626
HPQ,"Technology Hardware, Storage & Peripherals",IQV|COF|TTWO|SPG|MSCI,SNDK|AAPL|STX|WDC|NTAP,MRNA|TTD|FE|DAL|DE,0.0,0.0,0.0,0.0,0.0,0.0
HRL,Packaged Foods & Meats,TXT|HII|BG|OTIS|ALLE,CAG|SJM|KHC|MDLZ|TSN,DXCM|APD|D|CRWD|FTNT,0.0,0.0,0.0,0.0,0.4666666666666666,0.0
HUBB,Industrial Machinery & Supplies & Components,APH|CHRW|NSC|BLK|TRMB,PNR|PH|SWK|XYL|IEX,RCL|ROK|VLO|IEX|FFIV,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
HWM,Aerospace & Defense,DOW|IP|CPRT|LEN|MAS,GE|AXON|NOC|LHX|LMT,IEX|APH|GPC|CAH|APP,0.0,0.0,0.0,0.0,0.0,0.0
ICE,Financial Exchanges & Data,IEX|WTW|F|QCOM|PNR,MSCI|CME|FDS|NDAQ|COIN,COST|ABT|CIEN|WAT|ADSK,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
IDXX,Health Care Equipment,LLY|LEN|EME|IP|TROW,BAX|ABT|EW|BDX|MDT,HD|MO|CI|IR|SBAC,0.0,0.0,0.0,0.0,0.0,0.0
IEX,Industrial Machinery & Supplies & Components,ICE|WTW|AVY|F|QCOM,HUBB|PH|SNA|IR|PNR,NKE|ADSK|EMR|AMCR|NOC,0.0,0.2,0.0,0.0,0.0,0.0
INCY,Biotechnology,HD|IDXX|LLY|CNC|IP,GILD|MRNA|VRTX|REGN|ABBV,DG|ECL|AIG|EMR|TER,0.2,0.0,0.0,0.0,0.0,0.0
INTC,Semiconductors,CIEN|GEN|GDDY|PTC|ROP,NXPI|TXN|MPWR|NVDA|ON,TTWO|CMI|MGM|ROL|VZ,0.0,0.2,0.0,0.2015873015873016,0.03333333333333333,0.03333333333333333
INTU,Application Software,EFX|EPAM|FISV|DLTR|UPS,ADBE|CDNS|PTC|CRM|PLTR,AZO|ES|KEYS|PSKY|VTRS,0.0,0.2,0.0,0.06666666666666667,0.0,0.0
IQV,Life Sciences Tools & Services,HPQ|COF|TTWO|MSCI|SPG,DHR|A|TMO|WAT|TECH,NVDA|TXN|DG|PH|GLW,0.0,0.0,0.0,0.0,0.0,0.0
IR,Industrial Machinery & Supplies & Components,APTV|VRSK|NWS|ELV|XYL,XYL|SNA|SWK|HUBB|FTV,SJM|ZBRA|NWS|COP|AMCR,0.0,0.0,0.0,0.0,0.0,0.0
ISRG,Health Care Equipment,VTRS|EW|GRMN|CPRT|VRSK,EW|PODD|MDT|BDX|IDXX,EXC|UBER|BKR|AKAM|JBHT,0.0,0.2,0.0,0.1,0.2,0.0
JKHY,Transaction & Payment Processing Services,AMCR|TXT|XYZ|HRL|VRSN,FISV|FIS|CPAY|PYPL|V,LULU|EBAY|MPWR|HLT|FDS,0.0,0.2,0.0,0.0,0.0,0.0
KHC,Packaged Foods & Meats,APTV|NWS|TAP|TEL|ROL,MKC|TSN|MDLZ|HRL|SJM,ON|CEG|CARR|FIX|PG,0.0,0.2,0.0,0.0,0.18333333333333332,0.0
LHX,Aerospace & Defense,LMT|NOW|PANW|TYL|HPE,GD|TXT|GE|HWM|TDG,TER|HPQ|GEV|HD|AMD,0.2,0.2,0.0,0.10676767676767676,0.13055555555555556,0.0
LLY,Pharmaceuticals,IDXX|LEN|GPC|AON|BK,ZTS|PFE|BMY|MRK|VTRS,ORCL|HPQ|SNA|HLT|AON,0.0,0.0,0.0,0.0,0.0,0.0
LMT,Aerospace & Defense,CTSH|LHX|AXP|HPE|NOW,AXON|LHX|HII|TXT|GD,BMY|FOX|STZ|TROW|TECH,0.2,0.6,0.0,0.05454545454545454,0.2062121212121212,0.0
LNT,Electric Utilities,FE|WEC|MMM|VTRS|T,FE|EXC|CEG|EVRG|VST,JBHT|CSGP|ICE|LITE|FDS,0.0,0.0,0.0,0.2,0.0,0.0
MA,Transaction & Payment Processing Services,GPN|BA|NFLX|CRM|WM,FIS|GPN|PYPL|JKHY|XYZ,PSKY|GD|ALL|WFC|EG,0.2,0.4,0.0,0.06666666666666667,0.14707070707070707,0.0
MAR,"Hotels, Resorts & Cruise Lines",HST|LEN|BK|EME|INVH,ABNB|BKNG|EXPE|RCL|CCL,MKC|RSG|EIX|NWSA|LMT,0.2,0.0,0.0,0.0,0.0,0.0
MCO,Financial Exchanges & Data,SJM|JCI|APD|BALL|LIN,ICE|FDS|NDAQ|COIN|MSCI,MO|CDW|CHTR|KEYS|TROW,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
