ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
FTNT,Systems Software,CTSH|WDAY|CRWD|XYL|UPS,GEN|CRWD|NOW|PANW|MSFT,PNC|AON|PKG|ACN|SNDK,0.2,0.6,0.0,0.17238095238095236,0.20339105339105337,0.0
FTV,Industrial Machinery & Supplies & Components,COF|SJM|WFC|CAG|NDAQ,IR|PNR|PH|SWK|HUBB,LIN|ZTS|VTRS|GDDY|AVY,0.0,0.0,0.0,0.0,0.0,0.0
GD,Aerospace & Defense,LMT|LHX|DHR|HII|UAL,AXON|HII|LMT|TDG|BA,CPAY|MA|CMI|ABT|ELV,0.6,0.6,0.0,0.135,0.20454545454545453,0.0
GE,Aerospace & Defense,ROK|NCLH|JKHY|WTW|MCK,NOC|TXT|HII|LHX|TDG,MOS|HRL|CB|STZ|SNPS,0.0,0.0,0.0,0.0,0.09722222222222222,0.0
GEHC,Health Care Equipment,IQV|HPQ|EW|VTRS|GILD,BAX|IDXX|SYK|ISRG|EW,HST|UNP|FICO|GNRC|PODD,0.0,0.0,0.0,0.0,0.0,0.0
GEN,Systems Software,IBM|ADBE|JCI|MDT|BSX,CRWD|MSFT|NOW|FTNT|PANW,WDAY|RVTY|AXP|PYPL|HD,0.0,0.2,0.0,0.06857142857142857,0.07929292929292928,0.04857142857142857
GILD,Biotechnology,PFE|EW|BAX|VTRS|CVS,ABBV|VRTX|REGN|INCY|MRNA,CVS|NTAP|NI|LYV|PTC,0.0,0.0,0.0,0.05,0.04,0.11666666666666665
GPN,Transaction & Payment Processing Services,FIS|PYPL|BR|FISV|SNDK,FIS|MA|FISV|XYZ|JKHY,EXC|FDX|VLTO|HAS|EIX,0.6,0.6,0.0,0.02222222222222222,0.11746031746031745,0.0
HII,Aerospace & Defense,RTX|LHX|RVTY|A|GD,GE|BA|RTX|TXT|NOC,APTV|NVDA|INCY|BSX|VRSK,0.2,0.0,0.0,0.02857142857142857,0.15333333333333332,0.0
HLT,"Hotels, Resorts & Cruise Lines",ABNB|RCL|DAL|MAR|BKNG,NCLH|BKNG|RCL|EXPE|ABNB,ROL|STLD|HUM|CCL|SPG,0.2,0.2,0.0,0.09,0.19,0.0
HPE,"Technology Hardware, Storage & Peripherals",STX|AXON|NOW|NVDA|CRWD,DELL|NTAP|STX|SNDK|HPQ,PNR|REGN|IR|CHTR|AMZN,0.2,0.4,0.2,0.12728438228438227,0.12424242424242424,0.022796352583586626
HPQ,"Technology Hardware, Storage & Peripherals",MSCI|CRWD|WDAY|GEHC|TYL,SNDK|AAPL|STX|WDC|NTAP,MRNA|TTD|FE|DAL|DE,0.0,0.0,0.0,0.0,0.0,0.0
HRL,Packaged Foods & Meats,KO|MOS|AVY|SJM|PCAR,CAG|SJM|KHC|MDLZ|TSN,DXCM|APD|D|CRWD|FTNT,0.0,0.0,0.0,0.1,0.4666666666666666,0.0
HUBB,Industrial Machinery & Supplies & Components,EXPD|IP|IR|JBHT|AZO,PNR|PH|SWK|XYL|IEX,RCL|ROK|VLO|IEX|FFIV,0.0,0.0,0.0,0.0,0.0,0.0
HWM,Aerospace & Defense,TDG|AMAT|NXPI|NUE|LIN,GE|AXON|NOC|LHX|LMT,IEX|APH|GPC|CAH|APP,0.0,0.0,0.0,0.0,0.0,0.0
ICE,Financial Exchanges & Data,NOW|WTW|AON|CARR|MSCI,MSCI|CME|FDS|NDAQ|COIN,COST|ABT|CIEN|WAT|ADSK,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
IDXX,Health Care Equipment,ZBH|SYK|BAX|LLY|INCY,BAX|ABT|EW|BDX|MDT,HD|MO|CI|IR|SBAC,0.0,0.0,0.0,0.0,0.0,0.0
IEX,Industrial Machinery & Supplies & Components,GRMN|SYK|ZBRA|IDXX|AMZN,HUBB|PH|SNA|IR|PNR,NKE|ADSK|EMR|AMCR|NOC,0.0,0.2,0.0,0.0,0.0,0.0
INCY,Biotechnology,LLY|VRTX|MRNA|PODD|MRK,GILD|MRNA|VRTX|REGN|ABBV,DG|ECL|AIG|EMR|TER,0.2,0.0,0.0,0.0,0.0,0.0
INTC,Semiconductors,XYL|ADSK|NOC|VLTO|ECL,NXPI|TXN|MPWR|NVDA|ON,TTWO|CMI|MGM|ROL|VZ,0.0,0.2,0.0,0.0,0.03333333333333333,0.03333333333333333
INTU,Application Software,CRM|WDAY|MSCI|CTSH|HPQ,ADBE|CDNS|PTC|CRM|PLTR,AZO|ES|KEYS|PSKY|VTRS,0.0,0.2,0.0,0.0,0.0,0.0
IQV,Life Sciences Tools & Services,GEHC|AXON|SYK|BSX|HPQ,DHR|A|TMO|WAT|TECH,NVDA|TXN|DG|PH|GLW,0.0,0.0,0.0,0.0,0.0,0.0
IR,Industrial Machinery & Supplies & Components,HUBB|PH|IP|CHRW|BG,XYL|SNA|SWK|HUBB|FTV,SJM|ZBRA|NWS|COP|AMCR,0.0,0.0,0.0,0.0,0.0,0.0
ISRG,Health Care Equipment,VRTX|BSX|CI|MDT|ELV,EW|PODD|MDT|BDX|IDXX,EXC|UBER|BKR|AKAM|JBHT,0.2,0.2,0.0,0.0,0.2,0.0
JKHY,Transaction & Payment Processing Services,BR|FIS|FISV|EFX|GPN,FISV|FIS|CPAY|PYPL|V,LULU|EBAY|MPWR|HLT|FDS,0.2,0.2,0.0,0.02857142857142857,0.0,0.0
KHC,Packaged Foods & Meats,SBUX|KDP|PEP|LULU|STZ,MKC|TSN|MDLZ|HRL|SJM,ON|CEG|CARR|FIX|PG,0.0,0.2,0.0,0.0,0.18333333333333332,0.0
LHX,Aerospace & Defense,RTX|HII|GD|RVTY|TXT,GD|TXT|GE|HWM|TDG,TER|HPQ|GEV|HD|AMD,0.2,0.2,0.0,0.16071428571428573,0.13055555555555556,0.0
LLY,Pharmaceuticals,MRK|ZBH|INCY|VRTX|IDXX,ZTS|PFE|BMY|MRK|VTRS,ORCL|HPQ|SNA|HLT|AON,0.2,0.0,0.0,0.0,0.0,0.0
LMT,Aerospace & Defense,GD|ALLE|DHR|NOC|AVGO,AXON|LHX|HII|TXT|GD,BMY|FOX|STZ|TROW|TECH,0.4,0.6,0.0,0.16707070707070706,0.2062121212121212,0.0
LNT,Electric Utilities,NRG|VST|D|NI|SO,FE|EXC|CEG|EVRG|VST,JBHT|CSGP|ICE|LITE|FDS,0.2,0.0,0.0,0.06666666666666667,0.0,0.0
MA,Transaction & Payment Processing Services,FFIV|FISV|FICO|JKHY|PSKY,FIS|GPN|PYPL|JKHY|XYZ,PSKY|GD|ALL|WFC|EG,0.0,0.4,0.0,0.05858585858585859,0.14707070707070707,0.0
MAR,"Hotels, Resorts & Cruise Lines",DAL|MGM|MRSH|CB|AON,ABNB|BKNG|EXPE|RCL|CCL,MKC|RSG|EIX|NWSA|LMT,0.0,0.0,0.0,0.0,0.0,0.0
MCO,Financial Exchanges & Data,CCL|BK|ADP|AMZN|ECL,ICE|FDS|NDAQ|COIN|MSCI,MO|CDW|CHTR|KEYS|TROW,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Packaged Foods & Meats,CAG|IR|SJM|TPR|ULTA,SJM|HRL|TSN|KHC|MKC,CHD|KLAC|NWSA|NXPI|GE,0.0,0.2,0.0,0.0,0.0,0.0
MDT,Health Care Equipment,BSX|VTRS|MRK|PFE|LLY,BAX|SYK|STE|ISRG|IDXX,ULTA|T|OXY|CI|MAS,0.0,0.2,0.0,0.0,0.02857142857142857,0.0
MKC,Packaged Foods & Meats,TAP|SW|LOW|WY|DG,HRL|KHC|MDLZ|CAG|TSN,CCI|WMB|LYV|ICE|JKHY,0.0,0.0,0.0,0.0,0.1,0.0
MPWR,Semiconductors,WY|CMI|VRT|PLTR|XYL,ON|ADI|INTC|TXN|NVDA,TRGP|DASH|GPN|SO|ECL,0.0,0.6,0.0,0.0,0.18,0.0
MRK,Pharmaceuticals,LLY|ZBH|MDT|INCY|PODD,VTRS|BMY|LLY|ZTS|PFE,INTU|CAG|CDW|IDXX|IP,0.0,0.4,0.0,0.0,0.19666666666666666,0.0
MRNA,Biotechnology,VRTX|INCY|LLY|IDXX|BMY,VRTX|INCY|ABBV|GILD|REGN,PM|DIS|FIS|LULU|GD,0.2,0.2,0.0,0.1,0.04,0.0
MSCI,Financial Exchanges & Data,HPQ|ECL|INTU|WDAY|TYL,ICE|FDS|SPGI|NDAQ|COIN,FOX|UNP|KHC|COP|TRMB,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
