cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,0,4,0,0,35,2,1,4,0,0
1,0,0,0,17,1,1,3,1,4,1,0
2,0,10,0,0,24,1,2,0,0,19,0
3,15,3,0,0,16,0,4,9,1,4,0
4,2,0,0,0,26,8,10,4,2,1,1
5,1,1,0,1,2,3,8,33,0,0,0
6,0,8,9,0,0,3,15,3,5,0,0
7,1,1,1,1,1,0,5,1,0,0,30
8,4,10,6,0,4,1,10,10,3,2,0
9,0,10,13,2,0,0,14,6,4,0,0
10,0,5,3,1,2,6,6,4,3,4,0
