ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
EIX,Electric Utilities,APD|NFLX|CDNS|HPQ|FOX,SO|CEG|EVRG|WEC|FE,UNP|CVS|FOX|STX|FAST,0.0,0.2,0.0,0.0,0.2,0.0
ES,Electric Utilities,NI|LNT|EXC|GEV|FTV,PPL|LNT|DUK|EVRG|VST,D|BMY|UNH|AZO|GPN,0.0,0.0,0.2,0.0,0.0,0.0
EVRG,Electric Utilities,GS|GOOGL|AES|CEG|TXT,DUK|PPL|WEC|FE|EXC,HII|ULTA|CLX|PTC|COST,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
EW,Health Care Equipment,SOLV|GEHC|DXCM|BSX|ALGN,ABT|BAX|BDX|ZBH|GEHC,HLT|CTVA|PEP|PM|AMZN,0.0,0.2,0.0,0.13333333333333333,0.0,0.0
EXC,Electric Utilities,CTAS|FE|GNRC|NI|SO,EIX|CEG|DUK|FE|PPL,GM|AIG|XOM|BMY|IQV,0.0,0.2,0.0,0.0,0.0,0.0
EXPE,"Hotels, Resorts & Cruise Lines",PANW|MSI|ALLE|FFIV|SYF,CCL|HLT|MAR|RCL|BKNG,DD|DAL|RTX|KDP|DLR,0.0,0.2,0.0,0.0,0.093859649122807,0.06666666666666667
FANG,Oil & Gas Exploration & Production,COP|CVX|XOM|TPL|MPC,DVN|CTRA|COP|OXY|TPL,ETN|CHTR|C|CVX|FIS,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
FDS,Financial Exchanges & Data,FIS|SNDK|DHR|SPGI|PTC,MSCI|CME|COIN|ICE|SPGI,INTU|KR|SNA|UNH|GS,0.0,0.2,0.0,0.025,0.03333333333333333,0.0
FE,Electric Utilities,TYL|TEL|HAS|VRT|EPAM,EVRG|EXC|CEG|PPL|EIX,PYPL|BALL|SBUX|XYL|SW,0.0,0.0,0.0,0.0,0.0,0.0
FICO,Application Software,ECL|ZBRA|ELV|AXP|GEHC,TYL|TRMB|PLTR|SNPS|ORCL,AVGO|RVTY|PTC|CDW|FTNT,0.0,0.0,0.0,0.0,0.0,0.04
FIS,Transaction & Payment Processing Services,FDS|SPGI|FISV|GPN|GD,XYZ|V|FISV|PYPL|MA,FICO|WDAY|LOW|CEG|GS,0.2,0.2,0.0,0.05555555555555556,0.1715151515151515,0.0
FISV,Transaction & Payment Processing Services,V|GPN|ODFL|SPGI|FIS,GPN|MA|JKHY|PYPL|XYZ,ODFL|CPRT|GEV|A|CSX,0.2,0.2,0.0,0.1019047619047619,0.11636363636363636,0.04
FTNT,Systems Software,PANW|COIN|VRT|ALLE|AVGO,GEN|CRWD|NOW|PANW|MSFT,PNC|AON|PKG|ACN|SNDK,0.2,0.6,0.0,0.07999999999999999,0.20339105339105337,0.0
FTV,Industrial Machinery & Supplies & Components,TEL|AVGO|CARR|COF|J,IR|PNR|PH|SWK|HUBB,LIN|ZTS|VTRS|GDDY|AVY,0.0,0.0,0.0,0.0,0.0,0.0
GD,Aerospace & Defense,LMT|RTX|AVGO|PH|CARR,AXON|HII|LMT|TDG|BA,CPAY|MA|CMI|ABT|ELV,0.2,0.6,0.0,0.12666666666666665,0.20454545454545453,0.0
GE,Aerospace & Defense,GD|BA|LMT|GEV|AES,NOC|TXT|HII|LHX|TDG,MOS|HRL|CB|STZ|SNPS,0.4,0.0,0.0,0.07175324675324675,0.09722222222222222,0.0
GEHC,Health Care Equipment,VTRS|SOLV|ELV|PTC|PFE,BAX|IDXX|SYK|ISRG|EW,HST|UNP|FICO|GNRC|PODD,0.0,0.0,0.0,0.0,0.0,0.0
GEN,Systems Software,AVGO|MSI|ADBE|PTC|VTRS,CRWD|MSFT|NOW|FTNT|PANW,WDAY|RVTY|AXP|PYPL|HD,0.2,0.2,0.0,0.065,0.07929292929292928,0.04857142857142857
GILD,Biotechnology,PFE|VTRS|SOLV|ELV|J,ABBV|VRTX|REGN|INCY|MRNA,CVS|NTAP|NI|LYV|PTC,0.0,0.0,0.0,0.0,0.04,0.11666666666666665
GPN,Transaction & Payment Processing Services,VTRS|CTSH|J|VRT|XYL,FIS|MA|FISV|XYZ|JKHY,EXC|FDX|VLTO|HAS|EIX,0.0,0.6,0.0,0.0,0.11746031746031745,0.0
HII,Aerospace & Defense,RTX|LMT|GD|LHX|AVGO,GE|BA|RTX|TXT|NOC,APTV|NVDA|INCY|BSX|VRSK,0.2,0.0,0.0,0.07857142857142857,0.15333333333333332,0.0
HLT,"Hotels, Resorts & Cruise Lines",ABNB|BKNG|HST|MAR|MGM,NCLH|BKNG|RCL|EXPE|ABNB,ROL|STLD|HUM|CCL|SPG,0.2,0.2,0.0,0.05,0.19,0.0
HPE,"Technology Hardware, Storage & Peripherals",PTC|J|DELL|AVGO|EPAM,DELL|NTAP|STX|SNDK|HPQ,PNR|REGN|IR|CHTR|AMZN,0.4,0.4,0.2,0.11244343891402715,0.12424242424242424,0.022796352583586626
HPQ,"Technology Hardware, Storage & Peripherals",PTC|ALLE|HPE|AVGO|J,SNDK|AAPL|STX|WDC|NTAP,MRNA|TTD|FE|DAL|DE,0.2,0.0,0.0,0.03484848484848485,0.0,0.0
HRL,Packaged Foods & Meats,J|PTC|KHC|GILD|CAG,CAG|SJM|KHC|MDLZ|TSN,DXCM|APD|D|CRWD|FTNT,0.0,0.0,0.0,0.16666666666666666,0.4666666666666666,0.0
