cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,5,2,0,20,0,8,0,0,0,0
1,0,0,0,0,1,0,2,2,1,0,26
2,0,0,9,0,0,41,4,1,1,0,0
3,0,4,2,1,1,0,15,5,9,0,0
4,1,2,0,0,2,9,3,0,1,17,0
5,6,14,14,0,16,2,8,0,4,7,3
6,0,1,1,17,0,0,0,0,4,1,1
7,6,1,0,3,28,2,3,8,0,4,0
8,0,2,1,0,6,1,4,2,1,1,0
9,2,3,1,1,2,2,29,53,4,1,1
10,8,16,6,0,0,1,3,1,1,0,0
