ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
MRK,Pharmaceuticals,PFE|ABBV|RTX|HON|PKG,VTRS|BMY|LLY|ZTS|PFE,INTU|CAG|CDW|IDXX|IP,0.2,0.4,0.0,0.08,0.19666666666666666,0.0
MRNA,Biotechnology,NRG|VST|CEG|DDOG|ALGN,VRTX|INCY|ABBV|GILD|REGN,PM|DIS|FIS|LULU|GD,0.0,0.2,0.0,0.0,0.04,0.0
MSCI,Financial Exchanges & Data,AZO|CCI|ABNB|EXR|FTV,ICE|FDS|SPGI|NDAQ|COIN,FOX|UNP|KHC|COP|TRMB,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
MSFT,Systems Software,AAPL|AMZN|GOOGL|AVGO|NFLX,CRWD|PANW|NOW|FTNT|GEN,GILD|VLTO|CARR|NTAP|PEP,0.0,1.0,0.2,0.09186147186147185,0.07902183600713011,0.0125
MU,Semiconductors,STX|WDC|COHR|CIEN|TER,NXPI|ON|AMD|TXN|AVGO,OXY|EPAM|AZO|STLD|BAX,0.0,0.0,0.0,0.1,0.0,0.0
NCLH,"Hotels, Resorts & Cruise Lines",DDOG|RCL|UAL|LUV|CEG,RCL|HLT|MAR|EXPE|BKNG,HLT|GPC|SWK|LIN|PODD,0.2,0.4,0.0,0.10857142857142858,0.1805263157894737,0.05
NDAQ,Financial Exchanges & Data,TXT|ICE|XYL|JKHY|ALLE,COIN|CME|MSCI|FDS|MCO,XYL|IDXX|TROW|DDOG|APH,0.0,0.2,0.0,0.03333333333333333,0.0,0.0
NOC,Aerospace & Defense,LMT|RTX|TKO|VRSK|PTC,GE|TDG|LMT|LHX|HII,AXON|HUBB|FDX|COR|PYPL,0.2,0.4,0.2,0.15555555555555553,0.26222222222222225,0.02222222222222222
NOW,Systems Software,INTU|WDAY|CRM|BSX|NKE,MSFT|FTNT|GEN|PANW|CRWD,NRG|LII|ALLE|HRL|FE,0.4,0.2,0.0,0.0853146853146853,0.12352941176470589,0.0
NTAP,"Technology Hardware, Storage & Peripherals",ABNB|BALL|TGT|MAR|SBUX,HPE|AAPL|WDC|STX|DELL,EBAY|MRNA|SATS|EIX|INTC,0.0,0.0,0.0,0.0,0.1612121212121212,0.09714285714285714
NVDA,Semiconductors,MSFT|AAPL|AMZN|GOOGL|MU,INTC|MPWR|AMD|TXN|NXPI,PNR|LOW|VRTX|UNH|GD,0.4,0.4,0.0,0.03619047619047619,0.051515151515151514,0.0
NXPI,Semiconductors,SYF|RVTY|ZBRA|WAT|TECH,AMD|ON|MPWR|MU|NVDA,PLTR|EBAY|LEN|COF|WEC,0.0,0.2,0.0,0.0,0.13333333333333333,0.0
ON,Semiconductors,MPWR|ANET|STLD|HPE|NUE,TXN|AVGO|MPWR|SWKS|NVDA,TROW|SATS|SNDK|ALL|JCI,0.2,0.4,0.0,0.08,0.16,0.0
ORCL,Application Software,SNPS|DASH|UNH|PSKY|CRWD,TYL|ADBE|TRMB|CDNS|FICO,COF|T|CASY|PPL|APTV,0.0,0.2,0.0,0.06333333333333332,0.025,0.0
OTIS,Industrial Machinery & Supplies & Components,DPZ|STE|HRL|JKHY|SYK,SWK|SNA|HUBB|FTV|IR,ABNB|TRMB|CTSH|MA|FIX,0.0,0.0,0.0,0.0,0.0,0.04
OXY,Oil & Gas Exploration & Production,MPC|COP|CTRA|DVN|FANG,DVN|FANG|COP|TPL|CTRA,WY|BR|COR|ADP|BG,0.0,0.0,0.0,0.0,0.0,0.0
PANW,Systems Software,CDNS|CRWD|LII|HPQ|TEL,NOW|CRWD|MSFT|FTNT|GEN,JCI|MSI|AXON|CHTR|SNA,0.2,0.6,0.0,0.06666666666666667,0.23276515151515148,0.03636363636363636
PFE,Pharmaceuticals,HON|CTVA|CMCSA|PEP|MRK,VTRS|MRK|ZTS|BMY|LLY,PODD|MSCI|VTRS|SRE|UNP,0.2,0.6,0.2,0.08,0.12000000000000002,0.0
PH,Industrial Machinery & Supplies & Components,PCAR|WFC|SNA|WAB|HLT,HUBB|SWK|IEX|PNR|FTV,WAT|HII|SATS|SOLV|DD,0.0,0.0,0.0,0.0,0.0,0.02222222222222222
PLTR,Application Software,NOW|LLY|CEG|NCLH|CRM,APP|TRMB|CDNS|TYL|PTC,IQV|EXPE|EBAY|FTV|TYL,0.0,0.0,0.0,0.0,0.0,0.0
PNR,Industrial Machinery & Supplies & Components,ALLE|STE|XYL|TAP|TXT,OTIS|HUBB|PH|XYL|SNA,TSN|EFX|XOM|SNDK|DIS,0.0,0.0,0.0,0.0,0.0,0.0
PODD,Health Care Equipment,DLTR|IP|COO|DXCM|PTC,BAX|ABT|RVTY|BDX|EW,AMT|IP|IR|MU|BKNG,0.2,0.0,0.0,0.09,0.13333333333333333,0.0
PPL,Electric Utilities,LNT|EVRG|WEC|NI|D,WEC|SO|DUK|LNT|EIX,TSN|WEC|STZ|MO|PM,0.0,0.2,0.0,0.17333333333333334,0.2,0.10666666666666666
