cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,1,1,0,8,3,2,10,2,0,0,13
1,0,2,1,0,2,7,13,12,1,1,0
2,0,0,4,0,0,36,2,0,2,0,0
3,3,0,0,0,5,0,6,24,0,0,0
4,1,6,0,0,17,1,10,3,2,2,2
5,13,3,0,0,4,0,6,18,0,0,0
6,0,12,5,1,3,9,8,4,5,1,0
7,0,1,5,3,0,3,17,7,11,0,0
8,3,15,21,0,0,0,2,0,1,0,0
9,1,7,0,0,42,0,3,2,1,27,0
10,1,1,0,10,0,0,2,0,3,0,16
