cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,3,10,5,2,18,18,24,10,6,9,3
1,2,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,3,1,2,0,3,0,2
3,3,4,4,1,2,5,7,13,0,0,0
4,5,6,6,2,8,9,8,2,2,7,0
5,0,1,1,1,14,3,3,0,1,4,6
6,2,3,5,2,6,5,10,22,3,0,3
7,4,11,2,9,3,8,6,7,2,6,8
8,3,9,10,3,17,8,16,14,7,5,6
9,0,3,2,1,3,1,2,2,0,0,1
10,1,0,0,1,2,0,1,2,2,0,2
