ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
A,Life Sciences Tools & Services,COO|BDX|ABT|FTV|TECH,IQV|DHR|WAT|TMO|TECH,TPL|UNH|DLTR|DVN|AMZN,0.0,0.4,0.0,0.05,0.051515151515151514,0.0
AAPL,"Technology Hardware, Storage & Peripherals",UPS|UBER|ULTA|SW|SWK,STX|HPQ|SNDK|WDC|DELL,WTW|HAL|IQV|LUV|HWM,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,Biotechnology,DHR|ZBH|FTV|WAT|LDOS,MRNA|REGN|GILD|INCY|VRTX,AMAT|TECH|BKR|CDNS|MKC,0.0,0.0,0.0,0.0,0.0,0.0
ABNB,"Hotels, Resorts & Cruise Lines",MAR|HLT|WMT|GDDY|HST,MAR|EXPE|RCL|CCL|NCLH,XYZ|FICO|CVS|ACN|INTC,0.0,0.0,0.0,0.075,0.14666666666666667,0.06666666666666667
ABT,Health Care Equipment,BMY|A|COO|SYK|TECH,IDXX|BSX|EW|STE|MDT,TRMB|KEYS|WEC|DE|CCI,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
ADBE,Application Software,GEN|ZBRA|GDDY|EA|HAS,PTC|ADSK|SNPS|INTU|ORCL,MGM|FAST|IQV|TMO|NWS,0.0,0.2,0.0,0.04,0.0,0.0
ADI,Semiconductors,SNPS|KEYS|MU|TRMB|NVDA,SWKS|INTC|NVDA|MPWR|MU,FICO|FOXA|LNT|MAR|WMT,0.0,0.4,0.0,0.0,0.08333333333333333,0.0
ADSK,Application Software,ECL|MSCI|ADP|CTSH|CAT,APP|WDAY|FICO|ORCL|TRMB,BALL|STLD|GE|GD|WM,0.0,0.0,0.0,0.0,0.013333333333333332,0.0
AMD,Semiconductors,BA|TER|GRMN|RVTY|REGN,AVGO|INTC|ADI|MU|QCOM,IBM|MDT|SYF|VST|UAL,0.0,0.2,0.0,0.04,0.12,0.05454545454545454
APP,Application Software,COIN|DASH|XYZ|UBER|WDAY,CDNS|CRM|TYL|FICO|PTC,LUV|LNT|MSCI|WEC|TPR,0.0,0.0,0.0,0.13333333333333333,0.05,0.0
