cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,13,19,0,0,0,1,0,1,0,0
1,0,0,3,0,0,41,1,0,2,0,0
2,0,3,3,1,0,0,21,5,8,0,0
3,17,3,2,0,3,0,0,8,0,4,0
4,2,3,0,0,39,7,9,7,4,2,0
5,0,1,0,8,0,0,2,1,2,0,0
6,0,0,1,9,0,0,8,0,0,0,30
7,1,10,0,0,26,1,3,0,1,22,1
8,0,6,3,2,2,9,7,6,4,2,0
9,1,1,0,0,1,0,9,36,0,0,0
10,2,8,5,2,5,0,18,9,4,1,0
