cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,0,1,0,47,0,2,1,1,23,0
1,1,17,2,1,12,1,23,1,8,2,2
2,0,8,21,0,1,0,2,0,2,0,0
3,2,2,1,0,2,2,4,6,2,1,2
4,0,0,0,18,0,0,0,0,2,0,2
5,1,2,4,0,0,31,5,0,1,1,0
6,0,0,0,0,0,18,0,0,0,0,0
7,1,1,2,2,0,0,1,0,1,0,23
8,13,3,2,0,9,2,22,8,3,3,2
9,0,12,2,0,0,3,12,12,5,0,0
10,5,3,1,1,5,1,8,44,1,1,0
