cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,6,8,1,0,3,0,6,7,1,0,0
1,9,9,12,0,4,4,0,0,0,4,1
2,1,8,8,0,0,0,1,1,3,1,0
3,2,0,0,4,27,5,4,1,0,4,0
4,1,3,7,9,0,4,20,4,10,1,2
5,0,1,2,1,2,0,1,1,0,0,0
6,0,6,0,1,27,0,0,1,0,17,1
7,0,3,3,5,1,1,9,20,10,0,1
8,1,3,0,2,1,0,9,0,1,0,26
9,2,3,0,0,10,0,3,30,0,3,0
10,1,4,3,0,1,44,26,7,1,1,0
