method,rebalance_date,date,portfolio_return,turnover,n_assets
sample,2025-01-31,2025-02-03,0.004020740174391243,0.0,30
sample,2025-01-31,2025-02-04,0.004306710064432108,0.0,30
sample,2025-01-31,2025-02-05,0.00604028614702988,0.0,30
sample,2025-01-31,2025-02-06,0.0018559699984702852,0.0,30
sample,2025-01-31,2025-02-07,0.0009791250753112693,0.0,30
ledoit_wolf,2025-01-31,2025-02-03,0.004232646622595666,0.0,30
ledoit_wolf,2025-01-31,2025-02-04,0.004140161567491839,0.0,30
ledoit_wolf,2025-01-31,2025-02-05,0.00564606343023421,0.0,30
ledoit_wolf,2025-01-31,2025-02-06,0.002431028365135844,0.0,30
ledoit_wolf,2025-01-31,2025-02-07,0.0009094637092933242,0.0,30
embedding_prior,2025-01-31,2025-02-03,0.0040303016605247035,0.0,30
embedding_prior,2025-01-31,2025-02-04,0.004701881804057921,0.0,30
embedding_prior,2025-01-31,2025-02-05,0.0071339176520642065,0.0,30
embedding_prior,2025-01-31,2025-02-06,0.0009664797638639981,0.0,30
embedding_prior,2025-01-31,2025-02-07,0.0022815654282909935,0.0,30
multiview,2025-01-31,2025-02-03,0.010625874576950047,0.0,30
multiview,2025-01-31,2025-02-04,0.007077532909053404,0.0,30
multiview,2025-01-31,2025-02-05,0.01772201736695419,0.0,30
multiview,2025-01-31,2025-02-06,-0.001365546247886321,0.0,30
multiview,2025-01-31,2025-02-07,-0.006573960546419774,0.0,30
multiview_without_behavioral,2025-01-31,2025-02-03,0.0036791299175424398,0.0,30
multiview_without_behavioral,2025-01-31,2025-02-04,-0.00393276574789926,0.0,30
multiview_without_behavioral,2025-01-31,2025-02-05,0.005411647881294248,0.0,30
multiview_without_behavioral,2025-01-31,2025-02-06,0.006268455859246097,0.0,30
multiview_without_behavioral,2025-01-31,2025-02-07,0.0002554598068365711,0.0,30
multiview_without_network,2025-01-31,2025-02-03,0.0029046228163325757,0.0,30
multiview_without_network,2025-01-31,2025-02-04,-0.0015739370302874508,0.0,30
multiview_without_network,2025-01-31,2025-02-05,0.003772193744765892,0.0,30
multiview_without_network,2025-01-31,2025-02-06,0.005013870708694162,0.0,30
