view,rows,tickers,dates,themes,latest_tickers,latest_active_themes,latest_mean_dominant_loading,latest_median_dominant_loading,latest_mean_entropy
behavioral,87282,502,185,40,502,35,0.7695296869834419,0.8076823484316811,0.16941166985100276
business,87282,502,185,35,502,35,0.955274844795881,0.9981047052094062,0.03660785598337625
growth,83380,499,185,40,499,26,0.8732988738535916,0.9493172645085286,0.09746979568352114
network,87282,502,185,37,502,37,0.986859483643895,0.9999503647530812,0.01080581960001218
