view,year,sector,dominant_theme,dominant_label,dominant_share,n_tickers
behavioral,2015,Information Technology,theme_12,OKE / MSI / BKR / DE,0.15873015873015872,63
behavioral,2015,Materials,theme_12,OKE / MSI / BKR / DE,0.20833333333333334,24
behavioral,2015,Real Estate,theme_26,KIM / CB / TRV / AEP,0.5517241379310345,29
behavioral,2015,Utilities,theme_3,L / REG / O / WRB,0.3448275862068966,29
behavioral,2016,Communication Services,theme_22,MCD / FE / KO / PEG,0.2,20
behavioral,2016,Consumer Discretionary,theme_7,COO / DG / DXCM / BBY,0.13333333333333333,45
behavioral,2016,Consumer Staples,theme_22,MCD / FE / KO / PEG,0.22857142857142856,35
behavioral,2016,Energy,theme_18,VZ / VST / DECK / GNRC,0.19047619047619047,21
behavioral,2016,Financials,theme_6,BG / TRGP / KVUE / HAL,0.16216216216216217,74
behavioral,2016,Health Care,theme_2,STE / HSIC / AIZ / VLTO,0.38181818181818183,55
behavioral,2016,Industrials,theme_12,OKE / MSI / BKR / DE,0.17142857142857143,70
behavioral,2016,Information Technology,theme_7,COO / DG / DXCM / BBY,0.13636363636363635,66
behavioral,2016,Materials,theme_22,MCD / FE / KO / PEG,0.125,24
behavioral,2016,Real Estate,theme_35,INVH / MTB / PNC / AVB,0.4827586206896552,29
behavioral,2016,Utilities,theme_35,INVH / MTB / PNC / AVB,0.5517241379310345,29
behavioral,2017,Communication Services,theme_32,NVR / AVY / HD / WFC,0.14285714285714285,21
behavioral,2017,Consumer Discretionary,theme_30,UHS / CTSH / LDOS / HII,0.1111111111111111,45
behavioral,2017,Consumer Staples,theme_3,L / REG / O / WRB,0.2857142857142857,35
behavioral,2017,Energy,theme_10,ROST / BALL / EG / DLR,0.23809523809523808,21
behavioral,2017,Financials,theme_22,MCD / FE / KO / PEG,0.2972972972972973,74
behavioral,2017,Health Care,theme_22,MCD / FE / KO / PEG,0.2,55
behavioral,2017,Industrials,theme_3,L / REG / O / WRB,0.19444444444444445,72
behavioral,2017,Information Technology,theme_1,GD / DOC / AWK / JNJ,0.14925373134328357,67
behavioral,2017,Materials,theme_3,L / REG / O / WRB,0.20833333333333334,24
behavioral,2017,Real Estate,theme_22,MCD / FE / KO / PEG,0.41379310344827586,29
behavioral,2017,Utilities,theme_22,MCD / FE / KO / PEG,0.5666666666666667,30
behavioral,2018,Communication Services,theme_30,UHS / CTSH / LDOS / HII,0.3333333333333333,21
behavioral,2018,Consumer Discretionary,theme_30,UHS / CTSH / LDOS / HII,0.21739130434782608,46
behavioral,2018,Consumer Staples,theme_33,FAST / CME / ADM / KMB,0.22857142857142856,35
behavioral,2018,Energy,theme_4,APTV / PSX / EQT / NRG,0.3333333333333333,21
behavioral,2018,Financials,theme_28,NOC / LMT / CLX / RTX,0.3918918918918919,74
behavioral,2018,Health Care,theme_28,NOC / LMT / CLX / RTX,0.2909090909090909,55
behavioral,2018,Industrials,theme_28,NOC / LMT / CLX / RTX,0.547945205479452,73
behavioral,2018,Information Technology,theme_30,UHS / CTSH / LDOS / HII,0.31343283582089554,67
behavioral,2018,Materials,theme_30,UHS / CTSH / LDOS / HII,0.375,24
behavioral,2018,Real Estate,theme_33,FAST / CME / ADM / KMB,0.5666666666666667,30
behavioral,2018,Utilities,theme_33,FAST / CME / ADM / KMB,0.6333333333333333,30
behavioral,2019,Communication Services,theme_24,EA / BDX / KDP / PFE,0.14285714285714285,21
behavioral,2019,Consumer Discretionary,theme_2,STE / HSIC / AIZ / VLTO,0.17391304347826086,46
behavioral,2019,Consumer Staples,theme_22,MCD / FE / KO / PEG,0.2,35
behavioral,2019,Energy,theme_21,POOL / WAT / GPC / CBRE,0.19047619047619047,21
behavioral,2019,Financials,theme_26,KIM / CB / TRV / AEP,0.1891891891891892,74
behavioral,2019,Health Care,theme_12,OKE / MSI / BKR / DE,0.16071428571428573,56
behavioral,2019,Industrials,theme_12,OKE / MSI / BKR / DE,0.1891891891891892,74
behavioral,2019,Information Technology,theme_12,OKE / MSI / BKR / DE,0.1044776119402985,67
behavioral,2019,Materials,theme_26,KIM / CB / TRV / AEP,0.20833333333333334,24
behavioral,2019,Real Estate,theme_22,MCD / FE / KO / PEG,0.5483870967741935,31
behavioral,2019,Utilities,theme_3,L / REG / O / WRB,0.5666666666666667,30
behavioral,2020,Communication Services,theme_18,VZ / VST / DECK / GNRC,0.2608695652173913,23
behavioral,2020,Consumer Discretionary,theme_19,LULU / REGN / IDXX / DXCM,0.2826086956521739,46
behavioral,2020,Consumer Staples,theme_19,LULU / REGN / IDXX / DXCM,0.3142857142857143,35
behavioral,2020,Energy,theme_9,DVA / KEYS / LYB / CF,0.3333333333333333,21
behavioral,2020,Financials,theme_14,FSLR / ALGN / FISV / MRNA,0.33783783783783783,74
behavioral,2020,Health Care,theme_19,LULU / REGN / IDXX / DXCM,0.30357142857142855,56
behavioral,2020,Industrials,theme_19,LULU / REGN / IDXX / DXCM,0.41333333333333333,75
behavioral,2020,Information Technology,theme_19,LULU / REGN / IDXX / DXCM,0.30434782608695654,69
behavioral,2020,Materials,theme_19,LULU / REGN / IDXX / DXCM,0.46153846153846156,26
behavioral,2020,Real Estate,theme_19,LULU / REGN / IDXX / DXCM,0.41935483870967744,31
behavioral,2020,Utilities,theme_19,LULU / REGN / IDXX / DXCM,0.8,30
behavioral,2021,Communication Services,theme_32,NVR / AVY / HD / WFC,0.13043478260869565,23
behavioral,2021,Consumer Discretionary,theme_5,MAS / ADI / BA / NTRS,0.20833333333333334,48
behavioral,2021,Consumer Staples,theme_31,ETR / HLT / AME / WAB,0.34285714285714286,35
behavioral,2021,Energy,theme_29,PHM / CMG / CI / LEN,0.3333333333333333,21
behavioral,2021,Financials,theme_32,NVR / AVY / HD / WFC,0.14864864864864866,74
behavioral,2021,Health Care,theme_31,ETR / HLT / AME / WAB,0.23214285714285715,56
behavioral,2021,Industrials,theme_10,ROST / BALL / EG / DLR,0.35064935064935066,77
behavioral,2021,Information Technology,theme_37,CHTR / PWR / FANG / GRMN,0.15714285714285714,70
behavioral,2021,Materials,theme_10,ROST / BALL / EG / DLR,0.3076923076923077,26
