view,year,tickers,active_themes,top_theme,top_label,top_theme_share,theme_hhi,mean_dominant_loading,median_dominant_loading,mean_entropy,sector_nmi,sector_ari
behavioral,2010,423,4,theme_20,BK / BRK-B / SO / LIN,0.9267139479905437,0.8620346617932253,0.9858681449831028,0.9999993950868529,0.009077831831930092,0.0379875047663733,-0.0005474536997237871
behavioral,2011,433,29,theme_18,VZ / VST / DECK / GNRC,0.30484988452655887,0.17961053715151293,0.8080672302745207,0.8922147531624506,0.14141784168589322,0.21325477819576696,0.05216422961244797
behavioral,2012,440,33,theme_22,MCD / FE / KO / PEG,0.16590909090909092,0.08352272727272728,0.7697018532464134,0.8089673833673074,0.1737305230587344,0.205740539656028,0.04485825428014735
behavioral,2013,449,32,theme_26,KIM / CB / TRV / AEP,0.16258351893095768,0.09023268733786043,0.7589376387227642,0.7901937784894634,0.17304800825095767,0.17890106429109284,0.03140520888508288
behavioral,2014,457,31,theme_26,KIM / CB / TRV / AEP,0.24726477024070023,0.11171228974043444,0.7686015095782907,0.8115823840479778,0.17121313441964098,0.2268392076094202,0.052900905343087126
behavioral,2015,462,31,theme_33,FAST / CME / ADM / KMB,0.14935064935064934,0.08232604336500439,0.7535541138323757,0.8055781733925206,0.18407587672994027,0.22237099167084126,0.06874393295456098
behavioral,2016,468,32,theme_2,STE / HSIC / AIZ / VLTO,0.10683760683760683,0.06079699028416978,0.7674475126693521,0.8050201504968342,0.17223768733654607,0.23533031558711587,0.06351352403987602
behavioral,2017,473,31,theme_22,MCD / FE / KO / PEG,0.1839323467230444,0.09806953948750496,0.7789846355834052,0.8325946408881311,0.15969397772333227,0.19408129772738705,0.041088380444
behavioral,2018,476,26,theme_28,NOC / LMT / CLX / RTX,0.27310924369747897,0.1574924087281972,0.8135417843185461,0.8803328568496316,0.13931950316787906,0.19043496129706003,0.06794759736264377
behavioral,2019,479,32,theme_22,MCD / FE / KO / PEG,0.1127348643006263,0.06763830352901182,0.766773697289593,0.806485770883148,0.1703622820783935,0.18848546196238466,0.04015292945062796
behavioral,2020,486,19,theme_19,LULU / REGN / IDXX / DXCM,0.33539094650205764,0.18145946586733053,0.8040879584176153,0.8808653285585957,0.14041067044827757,0.17235649272065806,0.03183392604489439
behavioral,2021,491,33,theme_10,ROST / BALL / EG / DLR,0.164969450101833,0.0869707691605726,0.7665694600543751,0.8133109859982043,0.17229109301804071,0.2063652277088724,0.04359772610937456
behavioral,2022,495,26,theme_18,VZ / VST / DECK / GNRC,0.402020202020202,0.2287725742271197,0.82293065836015,0.9032260821800554,0.13166280191659283,0.19485779716704088,0.04824690421770876
behavioral,2023,497,33,theme_10,ROST / BALL / EG / DLR,0.158953722334004,0.06881125788938863,0.7701957308096409,0.8235444939497052,0.172652334319656,0.18477400766879568,0.035632024732535766
behavioral,2024,499,32,theme_1,GD / DOC / AWK / JNJ,0.2625250501002004,0.11406781498869481,0.8065595290116582,0.8689675495145143,0.14216653474608396,0.17599024133746466,0.020179071289420918
behavioral,2025,501,36,theme_24,EA / BDX / KDP / PFE,0.1377245508982036,0.05864120063266679,0.7479206275907885,0.7770025898708285,0.1896162504173829,0.20613422916549126,0.03794239582588313
behavioral,2026,502,35,theme_21,POOL / WAT / GPC / CBRE,0.11952191235059761,0.05346740527928128,0.7695296869834419,0.8076823484316811,0.16941166985100276,0.2413601162569368,0.04590973118696483
business,2010,423,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609293e-32,0.0,0.0
business,2011,433,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609295e-32,0.0,0.0
business,2012,440,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609295e-32,0.0,0.0
business,2013,449,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2014,457,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2015,462,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2016,468,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2017,473,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2018,476,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2019,479,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609293e-32,0.0,0.0
business,2020,486,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609293e-32,0.0,0.0
business,2021,491,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2022,495,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609295e-32,0.0,0.0
business,2023,497,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609294e-32,0.0,0.0
business,2024,499,1,theme_0,EXPE / CINF / A / NI,1.0,1.0,1.0,1.0,7.059775348609295e-32,0.0,0.0
business,2025,501,32,theme_0,EXPE / CINF / A / NI,0.8143712574850299,0.6647184672571026,0.9966325748455688,1.0,0.0029778041803892237,0.20245592343065066,0.000953395074317096
business,2026,502,35,theme_4,LH / PFE / BSX / VTRS,0.061752988047808766,0.03973746448469072,0.955274844795881,0.9981047052094062,0.03660785598337625,0.4151882764847921,0.15208823292539894
growth,2010,252,8,theme_14,GEHC / SOLV / PSKY / CRH,0.3492063492063492,0.22215923406399596,0.9259884555200383,0.9937883081808947,0.05266283566907116,0.16875749419123953,0.06709647784480607
growth,2011,379,10,theme_39,VLTO / SOLV / GEHC / KVUE,0.20316622691292877,0.15017300074491266,0.9116249422101809,0.9856918532083303,0.06216422026848504,0.16575287682532006,0.0582422092519719
growth,2012,411,22,theme_13,SNDK / BG / KVUE / GEV,0.19708029197080293,0.12531893607070765,0.9046816826817448,0.9854525353953015,0.06569311253519662,0.1784183627770041,0.05267233193393692
growth,2013,424,31,theme_10,IFF / KMI / LIN / PSX,0.08726415094339622,0.05442328230687077,0.8900014376036149,0.9687116742007,0.08253459498997505,0.20146984276111773,0.03086603271109674
growth,2014,432,34,theme_0,WAT / ULTA / ALLE / ODFL,0.11574074074074074,0.059670781893004114,0.868035214524207,0.9494410130754083,0.09812694643077491,0.21688710055100732,0.04406879242554982
growth,2015,440,35,theme_21,XYZ / EQR / HAL / TJX,0.11363636363636363,0.0644318181818182,0.877311127572327,0.9598839415158982,0.09145812733246862,0.22543998205027443,0.04888608232062345
growth,2016,446,31,theme_0,WAT / ULTA / ALLE / ODFL,0.10986547085201794,0.06797844316193767,0.8750130317199287,0.9525281522258873,0.09430555882952392,0.21998547174034497,0.052096778332040086
growth,2017,450,31,theme_21,XYZ / EQR / HAL / TJX,0.12666666666666668,0.0666172839506173,0.8855423004805404,0.9684768953261048,0.0875432097519054,0.21163717791174708,0.03910927280918454
growth,2018,456,32,theme_21,XYZ / EQR / HAL / TJX,0.1425438596491228,0.07168551862111419,0.8845676635089585,0.9645607906429784,0.08953338365179209,0.22490405599084082,0.05134061507997956
growth,2019,465,36,theme_21,XYZ / EQR / HAL / TJX,0.11182795698924732,0.06280032373684818,0.8717289441480193,0.9406452258569015,0.09759979518030837,0.2197996874508784,0.05435980948596673
growth,2020,474,34,theme_0,WAT / ULTA / ALLE / ODFL,0.10548523206751055,0.06062952874361302,0.8616541644020402,0.9459168643867866,0.10262409229118971,0.20986904093019584,0.05686251996827042
growth,2021,479,35,theme_37,CARR / GE / EW / MMM,0.10855949895615867,0.05387441651666442,0.8764318836222107,0.9593516690210074,0.08981060181524397,0.20556200402186925,0.047381481373264006
growth,2022,485,35,theme_5,DECK / ROP / ECL / STE,0.10927835051546392,0.058782017217557665,0.8943134126126628,0.9740720875386117,0.07809114268989106,0.18009692118266526,0.027035050886827852
growth,2023,487,35,theme_2,AIZ / ORLY / RVTY / SWK,0.25051334702258726,0.10123161121394447,0.8862702904415091,0.977298847696183,0.08131075266802103,0.19334898663606226,0.028180184380076606
growth,2024,493,29,theme_30,GL / CMS / GPC / HIG,0.1947261663286004,0.0955239478459076,0.8992849610014807,0.9803060895696775,0.07760398065760338,0.16326454120662692,0.022483178428450757
growth,2025,497,30,theme_30,GL / CMS / GPC / HIG,0.22334004024144868,0.09744179361885597,0.8924546908194125,0.9720672298963747,0.08289148292060101,0.16762772175889737,0.03011126717200067
growth,2026,499,26,theme_21,XYZ / EQR / HAL / TJX,0.20240480961923848,0.09526467765189697,0.8732988738535916,0.9493172645085286,0.09746979568352114,0.16649445640641355,0.02954225971899684
network,2010,423,37,theme_6,EQR / EQT / EOG / ERIE,0.09219858156028368,0.051724427007360456,0.987034351557123,0.9999618199932245,0.010324275032778989,0.21547094154001256,0.02211576417659882
network,2011,433,37,theme_6,EQR / EQT / EOG / ERIE,0.09006928406466513,0.051709700302417734,0.9867491668063858,0.9999632623525431,0.010627186959446581,0.21523900051142772,0.023031223790478443
network,2012,440,37,theme_6,EQR / EQT / EOG / ERIE,0.09090909090909091,0.05190082644628099,0.9869548003858343,0.9999632623525431,0.010469156199055444,0.21371432675609622,0.023014788748287295
network,2013,449,37,theme_6,EQR / EQT / EOG / ERIE,0.08908685968819599,0.05156224423489963,0.9871225450192359,0.9999632623525431,0.010376950955610068,0.2130454146646075,0.023214932452546713
network,2014,457,37,theme_6,EQR / EQT / EOG / ERIE,0.087527352297593,0.050960263156634704,0.9864765616767469,0.9999579954322857,0.010835811514933924,0.2112282622665552,0.02376886959583248
network,2015,462,37,theme_6,EQR / EQT / EOG / ERIE,0.08658008658008658,0.0507767845430183,0.9865851563130207,0.9999574966670604,0.010774940173690165,0.2116009292571143,0.024648520232058012
network,2016,468,37,theme_6,EQR / EQT / EOG / ERIE,0.08547008547008547,0.05026846373000218,0.9866897933257407,0.9999547285809203,0.010738966732860813,0.21233860739022786,0.024942361411176877
network,2017,473,37,theme_6,EQR / EQT / EOG / ERIE,0.08456659619450317,0.04970745857711786,0.9868118801605928,0.9999551861762674,0.010658679875625951,0.21092063016360613,0.024631146235485464
network,2018,476,37,theme_6,EQR / EQT / EOG / ERIE,0.0861344537815126,0.049943506814490515,0.9868800292402415,0.9999547285809203,0.01061798213687497,0.21059493367987459,0.02490518771433676
network,2019,479,37,theme_6,EQR / EQT / EOG / ERIE,0.08559498956158663,0.049838520578275036,0.9867869974069398,0.999954270985573,0.0107194456585924,0.20991300813812716,0.024910253232444435
network,2020,486,37,theme_6,EQR / EQT / EOG / ERIE,0.08436213991769548,0.04916255990787311,0.986829368732725,0.9999527713801748,0.010736062739948954,0.21118400990256958,0.026103288622380767
network,2021,491,37,theme_6,EQR / EQT / EOG / ERIE,0.0835030549898167,0.04923241566112632,0.9867247999412216,0.999949457731386,0.010834896013834803,0.21027049035844367,0.026073820919814715
network,2022,495,37,theme_6,EQR / EQT / EOG / ERIE,0.08686868686868687,0.049435771860014285,0.9868320537888697,0.999954270985573,0.010747418364654317,0.20960916658595205,0.025784121943443275
network,2023,497,37,theme_6,EQR / EQT / EOG / ERIE,0.08651911468812877,0.049208733285022004,0.9867853478289514,0.999954270985573,0.010817294145184828,0.20983126149410078,0.02584047424987137
network,2024,499,37,theme_6,EQR / EQT / EOG / ERIE,0.08617234468937876,0.04908012417620814,0.9868001675190388,0.999954270985573,0.010838048684190768,0.20901872305876937,0.02568125424183387
network,2025,501,37,theme_6,EQR / EQT / EOG / ERIE,0.08582834331337326,0.0488882514412293,0.9868512785410433,0.9999512717747765,0.010798788543495018,0.20928559010109632,0.025812641411180216
network,2026,502,37,theme_6,EQR / EQT / EOG / ERIE,0.08565737051792828,0.048991285852605496,0.986859483643895,0.9999503647530812,0.01080581960001218,0.2092768139502909,0.026024327304705587
