cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,4,9,3,1,17,33,17,12,0,0
1,2,8,0,5,1,2,17,0,6,0,14
2,10,9,4,0,5,30,9,12,1,5,0
3,0,9,2,2,7,0,0,1,0,6,1
4,1,10,14,0,0,0,3,0,2,0,0
5,0,0,0,1,0,0,0,0,0,0,15
6,3,4,0,0,24,3,1,1,0,13,0
7,0,0,0,0,0,0,0,8,0,0,0
8,5,3,1,0,15,4,9,32,1,3,0
9,0,0,2,2,20,2,4,0,1,4,1
10,2,1,4,9,3,0,3,1,3,0,0
