cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,4,8,2,2,1,4,28,22,9,0,1
1,5,0,0,1,19,7,16,8,4,2,2
2,0,0,0,0,22,1,2,0,1,3,1
3,1,0,0,14,4,0,5,2,2,0,26
4,3,4,0,1,3,0,13,39,1,1,1
5,0,0,1,0,24,0,0,0,0,0,0
6,3,15,18,3,0,1,8,1,9,2,0
7,0,6,15,0,0,0,0,0,0,0,0
8,7,13,0,0,3,2,6,0,0,2,0
9,0,0,0,0,0,43,1,0,0,0,0
10,0,2,0,1,0,0,0,0,0,21,0
