ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
A,Life Sciences Tools & Services,DHR|TECH|TXT|NWS|FOX,IQV|DHR|WAT|TMO|TECH,TPL|UNH|DLTR|DVN|AMZN,0.2,0.4,0.0,0.03333333333333333,0.051515151515151514,0.0
AAPL,"Technology Hardware, Storage & Peripherals",HAS|APP|UBER|ADSK|CRWD,STX|HPQ|SNDK|WDC|DELL,WTW|HAL|IQV|LUV|HWM,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,Biotechnology,ABT|GILD|BDX|LLY|BAX,MRNA|REGN|GILD|INCY|VRTX,AMAT|TECH|BKR|CDNS|MKC,0.0,0.0,0.0,0.1,0.0,0.0
ABNB,"Hotels, Resorts & Cruise Lines",NWS|FOX|UPS|MAR|DASH,MAR|EXPE|RCL|CCL|NCLH,XYZ|FICO|CVS|ACN|INTC,0.0,0.0,0.0,0.0,0.14666666666666667,0.06666666666666667
ABT,Health Care Equipment,ABBV|BDX|CAH|GILD|AMCR,IDXX|BSX|EW|STE|MDT,TRMB|KEYS|WEC|DE|CCI,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
ADBE,Application Software,GEN|EPAM|ROP|CRM|TTD,PTC|ADSK|SNPS|INTU|ORCL,MGM|FAST|IQV|TMO|NWS,0.0,0.2,0.0,0.04,0.0,0.0
ADI,Semiconductors,MPWR|TXN|SNPS|EPAM|COHR,SWKS|INTC|NVDA|MPWR|MU,FICO|FOXA|LNT|MAR|WMT,0.2,0.4,0.0,0.21666666666666665,0.08333333333333333,0.0
ADSK,Application Software,INTC|COHR|APD|FOX|NWS,APP|WDAY|FICO|ORCL|TRMB,BALL|STLD|GE|GD|WM,0.0,0.0,0.0,0.0,0.013333333333333332,0.0
AMD,Semiconductors,DE|REGN|PSA|CDNS|NWS,AVGO|INTC|ADI|MU|QCOM,IBM|MDT|SYF|VST|UAL,0.0,0.2,0.0,0.0,0.12,0.05454545454545454
APP,Application Software,GDDY|CRM|TTD|PLTR|CTSH,CDNS|CRM|TYL|FICO|PTC,LUV|LNT|MSCI|WEC|TPR,0.0,0.0,0.0,0.2555555555555556,0.05,0.0
AVGO,Semiconductors,DELL|FOX|NWS|PH|CARR,AMD|ADI|ON|NXPI|TXN,HUM|HD|ELV|PTC|KR,0.2,0.2,0.0,0.05,0.045054945054945054,0.0
AXON,Aerospace & Defense,CRWD|CRM|EPAM|PLTR|ADBE,GD|RTX|BA|LHX|HWM,JKHY|TPL|GNRC|ATO|GPN,0.0,0.0,0.0,0.0,0.15634920634920635,0.0
BA,Aerospace & Defense,HON|GD|RTX|DAL|LMT,GD|LHX|HII|TDG|NOC,GEV|CB|VRT|TYL|XYZ,0.8,0.8,0.0,0.14965034965034968,0.17909090909090908,0.016666666666666666
BAX,Health Care Equipment,VTRS|AMCR|STE|PFE|NWS,ISRG|MDT|ZBH|BDX|STE,IDXX|TGT|ACN|MPC|SNA,0.0,0.0,0.0,0.0,0.02857142857142857,0.06666666666666667
BDX,Health Care Equipment,ABT|BMY|ABBV|SOLV|ISRG,ZBH|STE|SYK|BSX|RVTY,TKO|VTRS|EW|ECL|LOW,0.2,0.0,0.0,0.0,0.07857142857142857,0.0
BKNG,"Hotels, Resorts & Cruise Lines",HLT|ABNB|DAL|IP|PNR,EXPE|CCL|HLT|ABNB|RCL,TTWO|JBHT|ROK|PPL|ZBH,0.4,0.8,0.0,0.009523809523809523,0.04157894736842105,0.0
BMY,Pharmaceuticals,GILD|TECH|VRTX|DXCM|BSX,MRK|PFE|LLY|ZTS|VTRS,JCI|GOOGL|CVS|CDW|KR,0.0,0.4,0.0,0.0,0.19,0.0
