cluster,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,0,1,1,13,0,0,13,7,5,0,3
1,1,1,0,1,4,0,6,33,1,1,0
2,0,16,22,0,0,0,4,0,2,0,0
3,3,9,0,3,1,0,10,5,2,4,6
4,0,0,2,0,0,32,0,0,1,0,0
5,0,8,1,2,1,1,9,0,2,7,22
6,1,4,0,0,53,1,3,5,0,13,0
7,0,3,3,1,1,9,2,0,4,0,0
8,0,4,3,1,1,8,5,2,3,0,0
9,1,0,2,0,12,7,21,8,6,2,0
10,17,2,2,1,3,0,6,12,0,4,0
